ACROSS	See above
ACHT	Fünf und drei
CLEW	Miss Marple's discovery
RANI	Eastern royal
ORR	His #4 was retired
SKYBOX	Big step up from the bleachers
SEWED	Gave a darn?
CHAFF	Refuse
CRIME	It may be organized
HEN	Roaster, perhaps
ASK	"What would you like to know?"
FUL	Suffix with hand or fist
FLENSES	Strips blubber
DIPPIER	Less cool
DUDERANCH	Urbanite's vacation spot
ITOO	Langston Hughes poem
PROUDER	More dignified
PINTOS	Ford failures
ILE	France's Belle-___
ELI	"Boola Boola" singer
RON	Ex-Yankee Guidry
CLARKE	Three-time hockey M.V.P.
RESULT	End product
TROT	The Hambletonian, e.g.
UTRILLO	Artist known for his street scenes of Paris
HENRYWRINKLER	Actor getting bad press?
RAI	Heyerdahl craft
DOONEIN	Destroy a person
TWI	Light opening?
BEAM	Gymnast's perch
NOSEOUT	Barely beat
SENORA	Lady of Spain
JODIEFROSTER	Actress who's cold?
JESSES	Jackson and James
FARM	Its business is growing
RIOT	Laughfest
ORNO	Words after "yes"
DOJOS	Karate schools
JACKPARLANCE	Actor with a special way of talking?
OKAYS	Initials, maybe
SENSE	Common thing
CODEX	Scriptures volume
CONMAN	Bunco artist
ORIOLE	Firebird
DEBRAWRINGER	Actress who does the twist?
AIRE	Suffix added to large numbers
NAMESAKE	Son, sometimes
MES	Julio, e.g.
ORES	They may be picked out
SHARONSTONER	Actress with punishing roles?
SWEDEN	It had the earliest parliament on the European continent
HAIRS	They're sometimes split
ARNEL	Textile trademark
TORRID	Like some love affairs
CAN	Sack
NIBS	Tool points
WARMTO	Begin liking
ORCS	Grampuses
SKYS	"The ___ the limit!"
SAP	Forest runner
MORE	Seconds
EIN	Article in Der Spiegel
RAH	Fan sound
LAPSE	Slip-up
LOS	Archaic attention-getters
ALAS	[Boo-hoo!]
DRESSLER	"Min and Bill" Oscar winner
SEALAB	Aquanaut's base
SYN	Dict. listing
LST	"Saving Private Ryan" craft: Abbr.
ENE	Tampa-to-Orlando dir.
COPA	Manilow song setting
CREMES	Some liqueurs
NEW	State-of-the-art
WESLEYSNIPERS	Actor who plays terrorists?
WIT	Punster
PAGET	British surgeon Sir James
ETUDE	Chopin piece
RAM	Trans World Dome player
ALYDAR	Three-time placer in the 1978 Triple Crown
MASONS	"Free" people
RAIN	A pluviometer measures it
ARY	Station closing?
ANTEDATE	Come before
ALLA	___ breve
AMUSER	Comedian, e.g.
SKIRT	Go around
SETUP	Framed
KEANU	Actor Reeves
MOL	Tiny particle: Abbr.
MOONSTONE	Feldspar variety
OREGON	Fremont National Forest site
GUM	It comes in sticks
MAYS	Hitter of 660 career home runs
EENY	Start of a selection process
CORA	Mrs. Dithers, in the comics
CHI	Midwest city, on scoreboards
SECEDE	Pull out
SCAR	Mark for life
ERIA	Assam silkworm
CARL	Screwballer Hubbell
UNDO	Word processing command
TAG	Telephone ___
PHOEBECRATES	Actress famous for boxing?
PREAMPS	Sound system components
ELDRICH	Unearthly
SCAN	Read the U.P.C.
UNERRING	Dead accurate
REPOSE	Peace of mind
LAIR	Hideaway
PEERS	Equals
PENMAN	Scribe
PUREE	Baby food
SONDRALOCKER	Actress in a dressing room?
NEVA	Gulf of Finland feeder
OWNER	Registration datum
CRI	Dernier ___
KEATS	"Endymion" writer
PARTNER	One may be silent
RBIS	Power stats
WREN	St. Paul's architect
PGA	Grp. with holes in its organization
PYLE	"Here Is Your War" author
GOER	One on the move
ARTS	Stratagems
COLOMBO	Sri Lanka's capital
CCI	Early third-century date
ORD	First or second, e.g.: Abbr.
LIL	Capp diminutive
VIRGINIAMAYOR	Actress with the keys to a city?
RCA	Color TV pioneer
GUV	Informal British address
ISE	Sussex suffix
ABE	Tad's dad
CRISPIN	Patron saint of shoemakers
ACCUSE	Impeach
TABLET	Gelcap alternative
IDLESSE	Do-nothing's state
HAVER	June of "The Dolly Sisters"
SNEERS	Says scornfully
