REHAB	Fix up, informally
RATE	Be held in esteem
EVEN	___ so
HIND	Rear
ALA	Home of the first capital of the Confederacy: Abbr.
BADGIRL	Not just a tease
ONKP	Where Beetle Bailey can often be found
OPENED	Performed prior to the main act
NEDS	Neighbor of Homer, and others
KAT	Kit ___ bar
PROPHESY	Predict
KEEP	Not toss
KNEWOF	Was familiar with
EAVE	Ice dam site
EPEE	Foil alternative
PENS	Stockyard divisions
AVILA	Province west of Madrid
PEAR	Shape of a mandolin's body
NAPE	Collar's locale
TENADDEDTOSEVEN	=
DUNE	Natural flood protection
SEERS	Palm readers, e.g.
END	Prime rib cut
GUNS	Big ___ (V.I.P.'s)
PEWEES	New World flycatchers
MINE	Infielder's cry
MDLI	Year the National University of Mexico was founded
THEO	"The Cosby Show" boy
TVAD	Spot
HUNDREDOVERFOUR	=
HAYOF	Make ___ (throw into confusion)
UTERI	Development sites
NOTIF	"___ I can help it!"
OLDEN	Ancient
ODING	Taking too much
URICH	"Vega$" star
RESET	Odometer button
ATOLL	One in a chain, often
LASS	Bonny girl
DRE	Rapping "Dr."
YETI	Cousin of Bigfoot
DADDY	Pops
DUMMYING	Preparing, as a layout, with "up"
AMIS	People a Frenchman may address, after "mes"
RIIS	Early photojournalist Jacob
REIN	Cupid holder?
ORI	"... ___ quit!"
HUME	"An Enquiry Concerning Human Understanding" author
HYATT	Sheraton rival
PENCE	Pound parts
PENALTY	Foul result
FIFTYMINUSEIGHT	=
THREAT	It might be idle
UNISON	Tandem
SURE	Ban alternative
HAMS	Scene stealers
NUNN	Longtime Georgia senator
SMARTY	Wise guy
SFPD	Bay Area blues: Abbr.
MILO	Actor O'Shea
AVES	Bird classification
MIRA	"Mighty Aphrodite" co-star Sorvino
MEGA	Start of something big?
EVA	"The Loco-Motion" singer Little ___
EVER	At all
VEND	Market
ANTS	Antenna holders
FIVETIMESELEVEN	=
MOM	Quaint tattoo
ERA	Century 21 competitor
PLEA	Fund-raising letter, basically
NOGO	Scuttled mission
TRENT	University in Peterborough, Ont.
DOST	"O mighty Caesar! ___ thou lie so low?": Shak.
GMAN	Hood catcher
YARDS	Gridiron gain or loss
