SARCASM	It can really bite
SANJOSE	Latin American capital
AQUAMAN	Founding member of the Justice League
RULEOUT	Prevent
CAL	Title robot in an Isaac Asimov short story
ARID	Lacking interest
SITUPS	Basic exercise routine
MAYBE	Fence-sitter's answer
EMPOWER	Warrant
ETIQUETTE	Post codes?
MENU	Dish describer
PATERS	Some prayers
OTE	Taxonomic suffix
WIREMAN	Electrician
EMINENT	Standing out
REMEND	Set right again
AQUARIA	See 33-Down
TEATIME	Late afternoon, typically
NULLITY	Nothingness
INTERIM	Temporary
JAE	Former major-league pitcher ___ Seo
DUBUQUE	Home of Clarke College
URBANIZED	Built up
ENE	Plymouth-to-London dir.
OMOO	1847 tale of the South Seas
ONEGAME	___ wonder (athlete known for a single great play)
PERU	One of the losers in the War of the Pacific
RAMEN	Asian bowlful
ATOMANT	Hanna-Barbera character
SAUNAS	Hot spots
ARI	Agent Gold on HBO's "Entourage"
BEDSTAND	Night table
DEI	Capo ___ capi (Bologna boss)
ENTER	Key word
SATE	Glut
SALTWATER	With 15-Across, sites for some corals
ONT	Home of Waterloo: Abbr.
GIGANTISM	Growing problem?
GEL	Come together
SKA	Kingston pop
STA	Pick-up and drop-off point: Abbr.
SCROOGE	Pinchpenny
THINMAN	Classic 1934 novel set in Prohibition-era New York City, with "The"
ELIE	French mathematician Cartan
KAFIR	Grain sorghum with stout, leafy stalks
FARSIDE	The moon has one
IDEAMEN	Madison Avenue types
RANPAST	Zipped by
SCHMALTZ	Mush
SPICES	Zip providers
ADROIT	Clever
CANADA	It covers six time zones
CREWEL	Yarn variety
PRIED	Asked too much?
WEAR	Sport
ABIDE	Bear
TREN	It's pulled by una locomotora
ION	Plasma component
ROADBED	Foundation with ties
ORTO	"... outrageous fortune, ___ ...": Shak.
DORE	"Paradise Lost" illustrator
SAP	Dummy
COMFORT	It doesn't help much when it's cold
FLA	State with the lowest high point (345 feet): Abbr.
IWOJIMA	Where Mt. Suribachi is
JIM	"The Gift of the Magi" hero
EGALITE	Middle third of a famous motto
DERIDES	Puts down
SENATOR	Cicero, e.g.
ELEMENT	Factor
