RAJAH	Indian chief
RAIN	Outdoor event planner's worry
ALTO	A chorus line
JOSS	___ stick (incense)
ANTENNA	Reception aid
HER	Part of H.M.S.
BRIM	Spilling point
BAKERY	Napoleon's place
RUER	Regretful one
IRS	Audit grp.
MAMABEAR	"Goldilocks" figure
OATS	Wild ___
OUTTAKE	Dropped movie scene
ASHE	"But, ___ was ambitious, I slew him": Brutus
TEAR	Eye drop
SSTS	Retired fliers
ALONE	Without help
AURA	Mystique
USES	Exploits
ITSTRIKESMETHAT	Unsuccessful batter's intro?
IDOL	Hero type
ELBA	Napoleon's place, once
NOSE	It can take your breath away
DER	___ Spiegel magazine
ALTERS	Sizes up or down?
NOOR	Koh-i-___ diamond
OKS	Green-lights
ABBA	"Waterloo" quartet
APSE	Notre Dame niche
FRANKLYSPEAKING	Hot dog vendor's intro?
FLUFF	More and more of news shows nowadays
RAZOR	Stubble remover
AMIGO	Baja buddy
SUGAR	Dearie
IVANA	Former Mrs. Trump
NIKON	Olympus competitor
GLAND	Sweat ___
LAMAS	Spiritual leaders
USA	Letters on Challenger
EVIL	Nefariousness
UZI	Blazing gun
PAGER	Belt-attachable device
PUHLEASE	"Don't give me that!"
APES	Knuckle draggers
AKA	Nicknamed
FOGS	Clouds (up)
SMARTED	Hurt
UPA	Work ___ sweat
PINON	Assign, as the blame
PSI	23rd in a series
ITSASIN	"That just shouldn't happen"
FROMWHEREISTAND	Guard's intro?
WISH	"Peace on earth," e.g.
EILEEN	___ Collins, former space shuttle commander
ISLE	Tropical escape
AILS	Is bedridden
ISIS	Cow-headed goddess
COARSE	Rough-cut
CAFE	Tea for two place
OSAY	Anthem opener
AIDE	Second
ALL	Start and end of the Three Musketeers' motto
ABLE	Fit
ACME	Pinnacle
CAST	Playbill info
MIKE	Karaoke need
EDYS	Häagen-Dazs alternative
ASITHASBEENSAID	Quotation citer's intro?
SAD	Sorry
NRA	Piece-keeping grp.?
FADE	Lose strength in the backstretch
SALE	Tent event
RISKY	Hazardous
EYED	Regarded guardedly
EDEN	Biblical plot
ANTES	Pays (up)
