MOSHE	Israel's Arens
MADENOISE	Wasn't silent
ONECOURSE	Short, as a meal
SEAOTTERS	Abalone eaters
HELLER	"God Knows" author
EDT	Setting for a Wash. Nats game
MISSTEXAS	Focus of an annual Fort Worth event
MOPED	Alternative to a Segway
INRE	About
STIR	Hullabaloo
SHES	"___ All That" (1999 comedy)
TED	Clarinetist Lewis
ELIDES	Shortens, in a way
XENIA	City near Dayton
AFTER	Following
STOMA	Botanical opening
ANEED	Have ___ for
ONTHELEFT	Where Brits drive
DEALT	Passed out
PRIEDINTO	Examined, as another's affairs
ECOL	"Silent Spring" subj.
PEERS	Certain nobility
PANACEA	Nostrum
DIEM	Per ___
NOTEPAD	Reporter's item
PAPISTS	Old Church of England opponents
MEARA	Half a comedy duo
MAESTRI	Toscanini and others
OUTRAN	Left in the dust
LISAS	Apple computers introduced in 1983
LEAKS	Security issue
IAGO	A "Spartan dog," according to Lodovico
SLEUTHS	Investigators
IRE	Embitterment
PALEALE	Draft choice
LEER	Look of prurience
LAB	Photo ___
LEAPSOVER	Hurdles
APPLETART	Pastry shop treat
BABYTEETH	Kids always lose them
SSR	Former empire abbr.
ICEAGES	Cooling-off periods
EPA	DDT banner
EES	Some Caltech grads, for short
SEEKOUT	Try to find
APB	Broadcast inits.
STARS	1999 Stanley Cup winner
STENCH	Fetor
TRIPLY	More and more?
INTONE	Chant
GRITS	It's kind of corny
GLAZE	Sugarcoating
RADII	They have a central meeting place
ICING	Sugarcoating
THINSET	Narrow-width mortar tile installation
TIMEX	Citizen rival
LACE	Tie up
SEMIS	Round of four
SEXY	Very hot
ERIS	Twin sister of Ares
MIDI	Late-60's fashion item
TOTE	Shopper's convenience
ADINTERIM	For the time being
TOT	Kid
NOVAE	They may be super
NIB	Point
ZINCOXIDE	Powder used in paint pigment and matches
INERT	Sitting around
EIGHTYSIX	Pitch
BERTH	Train crash site?
