CERAMIST	Pot builder
CAD	Rude character
EMI	U.K. record label
RAS	Dorm leaders, for short
ARAT	Smell ___
MARRIEDS	Wedded couples
INMIND	Not forgotten
STEMS	Flute parts
THREEBODY	___ Problem of celestial mechanics
CARAT	Solitaire measure
COOT	Codger
AXLES	Some toll units
REDRUM	Reverse mantra of "The Shining"
AYE	Salt agreement?
TENTPOLES	Circus props
BAILIFF	Court marshal
BENICE	"Don't fight"
AITCH	It begins here
INRE	About
LGA	J.F.K. alternative
IFIMIGHT	"Assuming it's O.K. with you ..."
FANGBITE	Impression of Count Dracula?
FTSMITH	Second-largest city in Ark.
AMARANTH	Undying flower
OXEYE	Round window
BEINGFAT	Condition of the 85-Across
BERRIES	Cereal toppers
DISARMER	Peacemaker
OLDEN	Of yore
ENTRAINS	Boards
TRIMESTER	Something that goes for a quarter?
STOMA	Leaf pore
THRICE	How Peter denied Jesus
HONER	Sharp fellow?
MGM	The Marx Bros. left Paramount for it
LBJ	Subj. of a library in Austin, Tex.
LOP	Cut (off)
BRO	Bud
JASMINEGUY	"A Different World" actress
INSET	Opposite of protruding
SUNPORCH	Chaise place
NOUGATS	Candy bar fillings
BIBI	Actress Andersson of "I Never Promised You a Rose Garden"
BOGUS	Fake
ORATED	Delivered a stemwinder
TEAROSES	Chinese bloomers
BOT	Plant sci.
TAVERNER	Person behind bars?
MOONIE	Unification Church member, slangily
DOGIT	Loaf
DIORS	Some gowns
POSED	Threw out, as a question
GOMAD	Flip out
GETIN	Welcome words to a hitchhiker
DELED	Dropped from the galleys
ULEE	"Gold" Fonda role
EIGHTH	Like Van Buren's presidency
ERODE	Undermine
MASKEDAVENGERS	123-Across or 96-Down?
KIKI	Vandeweghe of the N.B.A.
NISI	Not final, at law
ROUTE	It may be polar
AMIR	Israeli political leader Peretz
AMBLES	Strolls
MOLOCH	Ancient deity mentioned 39 times in Allen Ginsberg's "Howl"
ITY	Original finish?
ELIAS	Howe in the National Inventors Hall of Fame
DORS	Diana on the cover of "Sgt. Pepper's Lonely Hearts Club Band"
DIS	Slam
MONOSKI	Snowboard alternative
SSS	Serpentine signal
WREST	Seize
WIRED	Overcaffeinated
GRIDS	Quadrille designs
GUARE	"Six Degrees of Separation" playwright
RIFF	Comedic spiel
TKT	Box ofc. buy
TRUEDESIRE	A heart often has one
KENNEL	Place to keep toys?
TSKTSK	"Shame!"
BLESSINGINDISGUISE	127-Across or 91-Down?
GIDE	Nobel laureate between Hesse and Eliot
GOESEAST	Heads to Harvard or Georgetown, maybe
ARES	God who cuckolded Hephaestus
ALGEBRAI	It often features the quadratic formula
LOGES	Seating areas
IRE	Cause of an explosion
OAF	Doofus
PLUNK	Put (down)
PAC	___-10
ECUS	Old five-franc pieces
UNDERCOVERFBIAGENT	23-Across or 19-Down?
UPENN	An Ivy, briefly
NED	Outlaw Kelly
COARSEN	Make rough
OBOE	It's blown
VENTI	Starbucks order
BASIC	Unadorned
ICER	Rink athlete, informally
SHY	Not camera-ready?
SPEED	1994 film with the tagline "Get ready for rush hour"
SINES	Trig ratios
OBESE	Really big
ACCEDES	Bows
LIED	Wasn't straight
LEVER	Seesaw, e.g.
SAONE	Mâcon's river
SCURRYOFF	Flee like mice
SSE	NNW's reverse
SMARTENUP	Refurbish
BELK	Big Southern department store chain
GWENN	"The Trouble With Harry" co-star Edmund
GLIBNESS	Lack of gravity
WEMADEIT	Cry of relief
SECRETADMIRERS	24-Across or 5-Down?
SHEBATS	Months after Tebets
EATER	Real downer?
DAYAN	One-eyed leader
ENGRAVES	Makes a special invitation?
ELEVEN	Once across the Rio Grande?
ENTEBBE	City on Lake Victoria
HAUS	Hamburger shack?
ISAAC	Caravaggio's "The Sacrifice of ___"
NAIAD	Neptune's closest moon
ALL	Tie indicator
DSL	Dial-up alternative, for short
NIMES	French textile city
METRES	Oxford lengths
MANSES	Fancy homes
SECURE	Land
TYR	Norse war god
BGIRLS	Saloon habitués, slangily
BAIRDS	Puppeteers Bil and Cora
TBAR	Boarders board it
CABERNET	Bordeaux wine
CIELO	Spanish sky
TASTE	Liking
ATEAR	On ___ (raging)
ELENA	Dementieva of tennis
ELL	Wing
END	Tail
BINARY	Like some stars
BIGD	Texas metropolis nickname
CARNELIAN	Reddish gem
REED	Portland college
NERF	Maker of the game Dart Tag
BEERIEST	Most drunken
RNA	Transfer ___
OFUSE	Worth having
FOR	Pro
NERVEGAS	VX, e.g.
GOA	Indian state
ANI	What goes in your nose to make noise?
SEL	Pommes frites accompanier
BSINGLES	Secondary competitions, in some tennis tournaments
FORTE	Piano's counterpart
UNDERONE	Words before roof or flag
ESTADOS	Tabasco and others
FREED	Let out
PASSFAIL	Course option
