LITMUSTEST	Sole deciding issue
LOCI	Points
ICON	Elvis, e.g.
TENT	Safari setup
MASER	Electromagnetic wave enhancer
UNCROSS	Remove from the lotus position
SLIPON	Get into easily
TIER	Arena ticket specification
ENNE	Cousin of -trix
SECTS	Some offshoots
TRE	Middle of the afternoon, in Milan
ARPS	The sculptures "Cloud Shepherd" and "Coquille Crystals"
ABDICATOR	King Edward VIII, e.g.
REEXAMINED	Like cold cases for which new evidence arises
PACESETTER	Leader
STORMDOORS	Added protection against winter weather
OCEANLINER	The United States, for one
BEAT	Ready to crash
CONSCIENCE	Angel on one's shoulder
DECO	Like the Empire State Building
INTERPRET	Construe
SIXER	Net rival
SRO	Exceeding capacity, briefly
ROO	Bush jumper, informally
SARCASM	It might drip from a crack
ARTY	Like many indie films
MAN	"Phew!"
MADAGASCAR	"The eighth continent," to ecologists
AMITOBLAME	Question that may be answered "No, you're not responsible"
NECTARINES	Smooth-skinned fruit
SNAP	Polaroid
ARIA	"William Tell" component
PIZZA	Kind of oven
ROAMED	Was vagarious
AMESS	Elvis's "___ of Blues"
SENTIMENT	Feeling
RIOT	Comic who kills
OZZY	"The Osbournes" dad
TITO	Defier of Stalin
DICE	Shooter's equipment
DIZZY	Swimming
DREG	Small remnant
ONTO	Not taken by
ATTN	Letter routing abbr.
RAZZ	Heckle
GREER	20-Across in the Hall of Fame
GRISSOM	Second American to fly in space
GOATEE	The devil is often depicted with one
EDY	Last name in ice cream
AYER	Philosopher who promoted logical positivism
ENESCO	"Oedipe" opera composer, 1936
DRS	Many members of prestigious faculties: Abbr.
ABRIDGE	Cut down
EMCEE	One making introductory remarks
NIC	Actor Cage, informally
CHIOS	Greek island in the Aegean
SLIMY	Vile
MINESHAFT	What takes a pit crew down?
ICEL	Place to find fjord explorers: Abbr.
NERD	Square type
ABLE	Au fait
FLEE	Cut out
TERN	Arctic ___
CANE	Means of support
ACCESSIBLE	Easy to get into
ABS	Trunk supporters
AMEN	Period of prayer?
BEERCOOLER	Container at many a cookout
REST	Break
SELDOMSEEN	Rare
