DAN	Rather good at reporting
DESPITE	Regardless of
ALARMED	Not at all calm
NOTEPAD	Need for taking 9-Down
ASCH	"Moses" author
ACCORD	Proper relationship
SHOOTUP	Skyrocket
CORKSCREW	Feature of some roller coasters
HUES	Rose and burgundy, e.g.
EMOTER	One given to gushing
EDUCATE	Tell a thing or two
MINUTES	They may be brought to a business meeting
OPULENT	Ritzy
TOSTADA	Taqueria order
ELEISON	"Have mercy" in Masses
REDCENT	Pittance
ELO	"Turn to Stone" grp.
CHOU	Dynasty of Confucius
DIPOLE	Rabbit ears, e.g.
SATSCORE	College entrance consideration
SCARY	Goose-pimply
UNUSED	Still in the original package
PRECOOKS	Gets ready beforehand, in a way
CULTIC	Like Satan worshipers
IMPARTS	Lends
ATEASE	Past tense?
TEARDUCT	One that gives you an eyeful?
TOROS	They're baited in rings
TENDON	Corporeal cord
EDDY	Drain feature
PROTESTANT	Like many churches
TALLORDER	Tough request
ERA	Years
BIGBADWOLF	Storied home wrecker
BARBARA	Rush in a movie theater
IDEAMEN	Professional light bulb producers?
GESTAPO	Suppressing opposition brutally
BLOTTED	Eradicated, with "out"
AIRLINE	Hop offerer
DETESTS	Has trouble standing
FINEART	Architecture, e.g.
MUSH	Shout to the team
MIDAS	Skilled moneymaker
UNITARY	Whole
STEELIE	Certain marble
HOTSEAT	Uncomfortable position
ADELIE	Antarctica's ___ Coast
SLIPINTO	Enter quietly
PALMAS	Las ___
RESORT	Turn (to)
ONADIET	Taking off
BATTLE	Source of some scars
PRELATES	Hierarchs
PASO	Step, in Seville
AMATIS	Famous Cremona family
ADAMSALE	Water, in other words
REPENT	Religious exhortation
SERA	Some injections
RIA	Coastline feature
ANODES	Current entry points
ORTS	Disposal items
YET	Even
