STRIPEDBASS	Fish with lines
SITAR	Indian music maker
THOSE	"___ Calloways" (Disney film)
RANKS	Officers' command
IVY	Producer of wall flowers?
PER	Part of a rate of speed
ENABLE	Let
DONE	On the back burner, perhaps
BIDE	It may be before one's time
ADA	Org. for some extractors
SELKIRK	Crusoe's supposed prototype
SALAD	Leaves on the table
TSP	Rx abbr.
TOTALEDUP	Reckoned
SUITEMATE	Sharer of a hotel booking
PILEDITON	Praised and then some
IHAVENOIDEA	"Search me!"
OUI	"Certainement!"
TONYRANDALL	National Actors Theatre founder
TIL	Three Dog Night's "___ the World Ends"
ASK	Set a price of
BEE	One seeking some anthers
KARATE	Chopper's skill?
RDS	Places for forks: Abbr.
RESEAL	Tighten, in a way
ECON	Coll. major
ARTSY	Dilettantish
RIDDLED	Full of holes
RECESS	Niche
CREAMER	Dairy section selection
ASTROS	Colt .45s, today
MORES	Conventions
SEMI	Conductor's intro?
TAROT	Ouija alternative
TAKESHAPE	Unfold
AXISPOWER	Italy, once
ROTTENEGG	Classic missile at a speaker
SOCKS	Haberdashery supply
SPREE	Fling
DAT	Not dis
AXONS	Nerve cell appendages
TRE	Italian prime
PLUTO	It's about 2,100 miles in diameter
LIAR	Storyteller
KIT	One may be prepared for survival
YPRES	Town destroyed during W.W. I
PRESAGE	Portend
RIPEN	Yellow, perhaps
ESTE	Site of Roman ruins
ECO	Friendly introduction?
ROSSSEA	Bay of Whales locale
SHASTA	National forest in California
SPECIES	Lynx lynx, e.g.
IRREG	Not smooth: Abbr.
HERMIT	Not a company man?
MARIO	Tenor Lanza
INCAN	Like a bygone empire
TEENY	Minute
HONORS	Kind of class
RNA	It's stranded
RILE	Tee off
NOIR	Like some roulette numbers
ANE	What makes Dr. Dre?
AWE	Miracle response
RADIOSOURCE	Quasar, for one
DAN	Old title equivalent to "master"
OAT	Horse bit
URI	Kingston sch.
PEG	Identify, informally
EGALITARIAN	Classless society supporter
ERG	Centimeter-gram-second unit
GENERATIONY	Today's teens
