SEAS	Rafts
STUB	Evidence of an admission
EARL	Certain peer
ARGO	It made it past sirens
STEWPOTS	Some crocks
WILDEBEEST	Maned grazer
WOMANLY	Distaff
INERT	Apt to stay put
LENDS	Imparts
DOTS	Colon composition
EVA	Actress/model Mendes
BELLBOY	He may carry your burdens
ERNEST	Cyclotron inventor ___ Lawrence
EPODE	Literary invention of Archilochus
SATIN	Subbed
TRENT	Nottingham is on it
TART	Sharp
ONEOVERPAR	Disappointing course finish
URGE	Drive
MENTALNOTE	It's not jotted down
BLOWHARDS	Windbags
HALT	Be hesitant
LEDIN	Ushered
PANTS	Seat cover?
ABSENT	Without
ANN	Curry of "Today"
SCROLL	Kind of bar
SPCA	Grp. concerned with lab safety?
CRAG	Perch for an ibex
RENO	Home of the National Automobile Museum
KNOT	Marriage bond
KNEE	Supporter of a proposal?
PRETTYPENNY	Tidy sum
PADS	Adds to dishonestly
ELI	Y wearer
CAM	Spy tool, briefly
CURD	Coagulate
APSE	Architectural projection
METS	1962 expansion team
CANS	Lets go
ALE	Draft pick
DUPE	Take for a ride
DIANTHUS	Plant of the pink family
AGO	Opposite of hence
LADIESFIRST	Opening statement?
LEGENDS	Keys on maps
APE	Lummox
STEALTH	Cat burglar's need
FROM	Native to
REPS	They're counted in gyms
RATITE	Rhea, e.g.
TRADES	Diamond deals
RAVAGE	Do major harm to
RESTS	Breaks in scores
ALPHA	Leader of the pack?
VIRAL	Like some bugs
FREON	DuPont trademark
FROST	Unfriendliness
RELIC	Holdover
ELITE	Billionaires and their families, e.g.
DREAMTEAM	Magic was part of it
DREI	Trier trio
EASE	Naturalness
ALEC	Blind jazz pianist Templeton
MOST	Just 'bout
SPRINGROLL	Asian appetizer
GOP	Political inits.
HALO	Moon surrounder
THATDOESIT	"No more Mr. Nice Guy!"
USES	Plays for a sucker
SALESPITCH	Patter
SECT	Broken-off branch
