ATSEA	Nonplussed
ASS	Nincompoop
TIM	Tiny ___
STIFFNESS	Stretching may relieve it
EARL	Sandwich man?
ARKANSAN	Bill Clinton, e.g.
PLOW	Winter hookup
PROBE	Exploratory spacecraft
LAME	Poor, as excuses go
OVER	Kaput
WING	Birds take this
JOGS	Nudges
JESSES	James and Jackson
ORATE	Use a soapbox
GIVER	Unselfish sort
SEEDS	Garden bagful
SITAR	15-Across's instrument
RAVI	___ Shankar
ERIE	View from Toledo
SMIRK	Show of smugness
OMEN	Thunderclouds, perhaps
SAVE	Put away
FLABBERGASTED	Astounded by how much weight you've gained?
BET	Get into a pool
ALP	High peak
SPF	Beach lotion letters
SHEDS	Peels off
POLIO	Salk's conquest
NEE	Born in France
LEERS	Dirty looks
HONEST	"Really!"
ENE	Compass heading
QTIPS	Little swabs
QUART	Berries buy, at a supermarket
TONK	Honky-___
INC	Ltd., in the U.S.
ELENA	Actress Verdugo
BUON	"___ giorno!"
BRAN	Food for regular folks?
ATO	From ___ Z
ASTUDENTS	4.0 earners
TEHEE	[titter]
ODORS	Signs of spoilage
DISENFRANCHISED	Deprived of fast food chains?
FLU	Kind of shot
HASABALL	Lives it up
ILS	They, in Marseille
SOS	"Help!"
LARK	Just-for-fun activity
ALTHO	Even if, briefly
FOUNT	Source
FREEST	Most liberal
OAF	Loutish sort
ISSUER	One offering securities
IRA	Roth ___
TIARA	Pageant wear
TIRED	Wiped out
INURE	Accustom
ADDON	Building wing
ERA	Geologist's time
EGGED	Urged, with "on"
DES	___ Plaines, Ill.
INDEFATIGABLE	Tireless in pursuit of weight control?
AXED	Sent packing
TILE	Mosaic piece
INLA	"To Live and Die ___"
LUAU	Island feast
RUDE	Hardly chivalrous
XING	Pedestrian sign
AUNTS	Em and Polly
TET	___ Offensive
SRS	Sophs. in two years
EROS	Son of Aphrodite
ELLE	Lui's opposite
LATER	"Ciao!"
DENT	Bad impression?
DEAD	Practically devoid of customers
LUSTS	Cravings of a sort
