DUFF	Backside
DEBT	Cause for Chapter 11
UVEA	Eye layer
FEAR	Bugaboo
FLUTTERY	In a flap?
DROSS	Chaff
DRYROT	Timber problem
REPEL	Force back
OLA	Pay stretcher
SIGH	Something to heave
STEEPEN	Increase the slope of
TEASE	Fluff up
TAGENDS	Random bits
ELAND	Veldt sight
ALLA	___ breve
SOL	Helios, to the Romans
EYEHOLES	Mask features
SALT	Alum, for one
SOFTEN	Tone down
ALOE	Succulent plant
LIRR	Penn Station initials
TOTO	"Hold the Line" rock group
EVEL	First name in daredeviltry
RELIT	Fixed the pilot
ALLOY	Mix, in a way
OLIO	Mixed bag
BEAUTYPAGE	Part of a girl's magazine dealing with makeup?
TARSI	Ankles
GALLEFFORT	Attempt to irritate?
FETID	Rank
TARTARE	Kind of sauce: Var.
HELENA	Treasure State capital
LEA	Gamboling spot
HETERO	Straight
TROLL	Sing in a full, happy voice
LAVAGE	Washing
PEND	Await judgment
COTE	Fowl place
CALLS	Directs a hoedown
FINEST	Tops in quality
FAKER	Phony
ITALO	Author Calvino
NATIONALHEM	Country's border?
AHEAD	On the horizon
HERE	At this point
MALINGER	Goldbrick
MAIMS	Hurts badly
GISCHNAUZER	Army dog?
ELATE	Overjoy
ROTOR	Chopper part
ATARI	Maker of the game Pong
SVEN	Cinematographer Nykvist
SORTS	Out of ___ (grouchy)
SCALED	Got up
CAROM	Pool shot
ILO	1969 Peace Prize grp.
KATY	"___ Bell" (Stephen Foster song)
SOAR	Go parasailing
SEALS	Protection against tampering
AILS	Has a bug
PSAT	E.T.S. offering
PATER	Devonshire dad
ELI	Connecticut Bulldog
SERGEATARMS	Sleeves of a sports jacket?
SMILE	"Get ready for the camera!"
ALBUM	Collector's book
TARRY	Sojourn
AGATE	Small type
LACTO	Milk, in combinations
LATHS	Backing for plasterwork
ROOMMATE	Dorm companion
MARLO	One of the Thomases
LAGOS	Former West African capital
GATHER	Infer
GASES	Krypton and xenon
NAILS	Epitome of hardness
ABRAM	Garfield's middle name
ALGER	Tattered Tom's creator
LATEN	Grow past the hour
LIPID	Fat or wax
SNARLS	Shampooing aftermath
SHEET	Night cover
NACRE	Button material
BLURT	Utter impulsively
BYTES	Bunches of bits
DISHRAGS	Kitchen cloths
DOSING	Plying with pills
GRASP	Understand
SERTA	Mattress brand
HALLE	Beautiful Berry
PYGMYELOPES	Little one bypasses the altar?
PURRS	Sounds of contentment
LAKE	Winnebago, e.g.
URE	Script ending
ECHO	Audio effect
CUTE	Appealing
COATTREE	Vestibule item
ASIS	Sale caveat
CZAR	Winter Palace resident
CREDENZA	Sideboard
ERE	Afore
CORERS	Kitchen gadgets
CLARA	Bow on the screen
SPOUSES	Married people
SKID	Slide in sleet
STOPPER	Cork
CREST	Swell top
CHERI	1920 Colette novel
TEMPLARS	Religious knights
PREFER	Go for
PATEN	Eucharistic plate
ALL	The lot
SHERPA	Help for a mountaineer
SUBWAY	Tube, over here
RATS	"Phooey!"
SOLO	Jam session feature
SCRIM	Theater backdrop
GLUED	Used stickum
LANZA	Caruso portrayer
ASSERT	Put forward
ATOM	Bit of physics
SETA	___ precedent
SNOW	Cold powder
SCULPT	Emulate Isamu Noguchi
SERA	Antitoxins
TELE	Prefix with com
ABREAST	Side by side
ANON	Before long
SEND	Fax
TREY	Yarborough component, perhaps
TENFARMERS	Grange lacrosse team?
MEX	O.A.S. member: Abbr.
PENNWINNER	Philly champion?
NIL	Nada
OTOE	Member of the Winnebago nation
EERIE	Like "The X-Files"
ELIZA	Stowe character
ZONE	Court defense
MAWR	Bryn ___ College
EXAMS	52-Across and the like
RELAY	Electrical setup
ANDY	Cap'n Hawks of "Show Boat"
