DING	[That is correct!]
DECO	So-called "style moderne"
IRON	Press
NONTOXIC	O.K. to put in one's mouth
GOTOBED	Retire
SMUG	Overconfident
SCARUM	Harum-___ (reckless)
MAV	Dallas player, for short
UPI	Grp. with the old slogan "A deadline every minute"
GNOSTIC	Early Christian
UNCUT	Not edited for TV
UCAL	The Golden Bears, briefly
NUT	Cuckoo bird
CRISCO	"It's digestible" sloganeer, once
USOPEN	Event won five straight times by Roger Federer
TENOR	Pervading tone
ACHES	Bengay targets
ASSN	Society: Abbr.
CHARITY	Red Cross, e.g.
HOMEDEMOTION	Being forced into a smaller house, say?
EROSE	Having an irregularly gnawed edge
STATS	Recap numbers
EROO	Old switch attachment?
CAPN	Whom mateys address
CURSE	Jinx
SHORT	Underfunded
CONTRAVIOLATION	Following the rules?
RUDD	Australian P.M. Kevin
LIEAT	___ the heart of
SAMOA	2009 "Survivor" locale
ONTOUR	Traveling, say
SIL	R.S.V.P. component
SPOONREST	Ladle cradle
OBRIEN	Comic Conan
OBDURATE	Unbending
RENEW	Take for another year, say
ADE	Commercial suffix with Gator
ACERB	Astringent
AIRUP	Inflate
IDES	St. ___ (malt liquor brand named after an Irish nun)
MIXEDMEDIATION	Variety of arbitrating techniques?
MAD	Batty
ICE	Hail, e.g.
TATAS	Cheerios
RITE	Observance
ITS	"___ showtime!"
ACID	Vinegar, for one
NECTAR	Hummingbird food
CITYMAP	Car rental freebie
CLOYS	Is too much
AVENUE	Amsterdam in New York
PAPERS	Credentials
DEC	Universal Human Rights Mo.
STE	Sault ___ Marie
SHUTS	Latches
TOT	Little one
TUSSLES	Scraps
STUPOR	A drunk might be in one
SIERRA	___ Nevada
OVA	Fertilization targets
SHOWERCAPTION	Title under a photo of rain?
SOFAS	Some sleepers
ENNEAD	Party of nine
RECIPE	Family secret, perhaps
CTA	Windy City transportation inits.
STEP	Whole tone, e.g.
SEDAN	Brougham, e.g.
ASKOUT	Propose a date to
ACTORS	Cast
SLURRY	Wet cement mixture
KINGSMENTION	Passing reference in the "I Have a Dream" speech?
NETS	Fishing aids
UEY	A person might hang one on a road
SEINE	Subject of paintings by Corot and Manet
SOLOS	Goes off on one's own
CLIFT	Montgomery of "The Young Lions"
INCA	Peru's ___ Trail
IDOLS	The Beatles, once
SPRS	Colo. ___, Colo.
SHE	Who sells seashells by the seashore
ODOUR	British smell
TUNAS	Skipjack and albacore
DEI	Montemezzi's "L'Amore ___ Tre Re"
SHOR	Restaurateur Toots
SPATE	Rash
PLANES	Some fighters
PIT	Classic Parker Brothers card game
ORGS	Societies: Abbr.
SOAPOPERATION	Detergent factory, e.g.?
SALSAS	Dances with spins
ORALS	Tough tests
TETON	"Grand" backdrop for "Shane"
RRS	Rock Island and Reading: Abbr.
CALDERA	Depression at the mouth of a volcano
COG	Gear tooth
ETS	"Galaxy Quest" characters, in brief
FTD	Arrangement provider
FLIPSIDE	Opposite number
TOO	Moreover
DEN	Outlaw's refuge
SYMBOLS	Keyboard features
BRAMBLE	Thorny bush
ATOAST	Wedding proposal?
OSRIC	"Hamlet" courtier
AQUEOUS	Watery
SUN	Work on a tan
SLOE	Gin flavorer
STUTTER	Say "Th-th-th-that's all, folks," e.g.
ERGS	Units in physics
SALESQUOTATION	"$100 per dozen plus shipping," e.g.?
STUMPS	Leaves without an answer
AIMING	Intending
TEGNER	19th-century Swedish writer Esaias ___
AREA	Vicinity
LANA	___ Lang of Smallville
LACTO	Milk: Prefix
ARROW	It might be presented with a bow
ARTIS	Hoopster Gilmore
RESAT	Met again, as a legislature
RUNNERUP	Second best
ARTMUSEUM	Place for hangings
USSR	It disappeared on Dec. 26, 1991
CIE	Fr. firm
CHAS	Alternative to Chuck
GETSTO	Annoys
TOGA	Word repeated in an "Animal House" chant
ONER	Corker
CRIBS	Mobile homes?
SMITHCORONATION	Enthronement of a metalworker?
TET	Lunar New Year
RTE	Travel plan: Abbr.
ONA	Off ___ tangent
TOOLS	They're sometimes found on belts
APNEA	Sleep disruption
UTNE	___ Reader (bimonthly magazine)
EDGE	Ad in, e.g.
OWNER	Titleholder
TSGTS	E-6 officers in the U.S.A.F.
SEAR	Burn
REAR	Duff
