ATMO	Spherical beginning?
ACDC	"___ Live," 1992 multiplatinum album
TBEAM	Letter-shaped bridge support
MERCY	It's sometimes given to prisoners
ORNATE	Florid
LEARY	1960s trip taker
LAGS	Problems in synchronization
ERE	"Maid of Athens, ___ We Part" (Byron poem)
ATTRACT	Draw
ROTINI	Twists in a trattoria
YOYO	Fluctuate
DEBS	Third-place presidential candidate of 1920 who ran his campaign from jail
DAB	Bit
EQUATIONS	Some memorization for a physics test
BURL	Knot
SAGE	Stuff in stuffing, often
CBER	Handle user
ARTOO	Character in all six "Star Wars" films, informally
AQUA	Shade at the beach?
DERN	2009 Golden Globe winner for "Recount"
GETTYSBURG	See 62-Down
STPAUL	Home for "A Prairie Home Companion"
CACAOS	Tropical trees
OHM	Measure of resistance
RIOT	Hoot
ALE	Pub pour
MYTH	What unicorns live in
IAN	___ Hunter, leader of rock's Mott the Hoople
INME	"She Believes ___" (Kenny Rogers hit)
PET	Kind of project
ETRE	Sartre's "L'___ et le Néant"
EMANCIPATION	See 62-Down
AETNA	Insurance giant
PEPSI	Brand whose ads once featured Michael Jackson
OPTO	Vision: Prefix
NAYS	Bill blockers
HRS	DH's often have many
HOSP	I.C.U. locale
RUHR	Essen's region
STOODUPTO	Challenged
EMT	First responder, for short
EUROPA	Moon of Jupiter
OUTVOTE	Beat in a race
VOCE	Mezza ___
OILRUB	Masseuse's offering
APLENTY	Galore
ALTA	Utah ski resort
SHOOIN	Lock
SLS	Classic Mercedes roadsters
SARACEN	Crusader's foe
SOS	Song from "Mamma Mia!"
PROCLAMATION	See 62-Down
MINIMA	Nadirs
ONT	Mich. neighbor
NACHOS	Bowl game bowlful, maybe
DER	Article in the German constitution
IRA	He wrote lyrics, by George!
NASH	Ambassador of old autodom
SHOGI	Japanese chess
HELLO	Cry at a canyon
ASU	Pac-10 sch.
ARMS	Venus de Milo knock-offs?
SEAL	Caulk
USNA	H. Ross Perot's alma mater: Abbr.
SLAW	Salad alternative
ITCHES	Yens
INAS	Much precedent?
SEEN	Eyed
REPUBLICAN	See 62-Down
USE	Milk
ABE	Nickname of the man (born 2/12/1809) who gave the address at 18A, issued the 28A/45A, was the first elected president of the 60A Party, and whose name can be found in this puzzle's main diagonal
HOLE	Course component
MATS	Small rugs
AMEBA	One-celler
OGLE	Eye
SLOE	___-eyed
WANES	Ebbs
SION	Capital of Valais
