LAPUP	Receive excitedly
LEADSTO	Engenders
ALSORAN	#3 or #4, say
PETNAME	Pumpkin, e.g.
UNIT	Newton, for one
PARSES	States one's case?
CAMS	Some security aids
CSPAN	House shower
AMOR	Marc Antony's love
MUSTSEETV	The Super Bowl, to a football fan
STEWED	Lit
ABAS	Start of a Parisian protest
ABET	Look out for?
BARHOPS	Paints the town red
ALLMALE	Stag
SLEETED	Fell hard?
ELENA	2004 French Open finalist ___ Dementieva
SMUT	Blue material
BALL	Something passed in courts
ASTIR	Up
POSE	Prepare to be shot
ERLE	First name in mystery
DONTSTARTWITHME	Spat-beginning words
TETRA	Tank swimmer
IRANI	Kharg Island resident
SRA	Married mujer: Abbr.
EEN	Tho lead-in
SER	To be, in Barcelona
OAT	Meal source
TAMEST	Least exciting
ESTEE	Name on a compact
REDAPPLE	Poisoned item in "Snow White and the Seven Dwarfs"
RENEE	Bridget's portrayer in "Bridget Jones's Diary"
POPPA	Old man
ONES	"Annuit coeptis" appears on them
RHEE	Asian leader who had a Ph.D. from Princeton
HILLSIDES	Sledding sites
NOSED	Beat by a bit, with "out"
TRAINTRIP	Track event?
REATA	Ranch in Ferber's "Giant"
RICKI	Lake of "Hairspray"
THREE	Craps loser
TSHIRTS	Some souvenirs
HEAVEHO	Boot
RAREBIT	Dish served on toast
LEVI	Son of Leah
PISA	1589-92 teaching venue for Galileo
INDYCAR	Speedway racer
STJOHNS	Home to the Big East's Red Storm
ASSUAGE	Take the edge off
SEAEAGLE	Hunter of fish
GODIVA	Chocolate giant
CHANTS	Some psalms
HITMAN	Torpedo
HAR	Laugh syllable
TOS	How-___
SKI	Boot holder
SWABS	Tars
DJS	Countdown presenters
IVEHADITWITHYOU	Spat-ending words
HANS	Geiger of Geiger counter fame
TERI	Actress Polo
HOBO	Sundowner
REBA	WB sitcom
IDEA	Piece of mind?
MOCHA	Yemeni port famous for its coffee
THIN	Lacking volume
VERB	Make or break
ABANG	Get ___ out of
SOTS	They're often 9-Down
ASIS	Tag line?
NORSE	Kind of mythology that influenced Tolkien
