PEEP	Hatchery sound
PAAR	Carson's predecessor
ENCE	Suffix with refer or prefer
ENID	Author Bagnold
PADRE	Tony Gwynn was one
STOPS	Transit map markings
STS	Peter, Paul and Mary: Abbr.
TET	Holiday in Hue
ONOR	__ close to schedule
PEKOES	Tea choices
STETS	Keeps in
TOPS	The best
TOOT	Barfly's binge
OTTO	Director Preminger
PAIR	Two queens, e.g.
SYS	Part of CBS: Abbr.
ANNA	Visitor to Siam
TENET	Basic principle
OTAY	Our Gang affirmative
ACID	Etcher's supply
STOKE	Feed fuel to
OTIS	Elevator innovator
REDRY	Towel again
YESI	Sammy Davis Jr.'s "__ Can"
ROTATOR	__ cuff (shoulder muscles)
AERO	Flying start?
EELS	Congers and kin
LOBAR	Of a lung part
SLAG	Smeltery refuse
ESE	Computer add-on?
ODO	"Star Trek: Deep Space Nine" constable
OVER	Walkie-talkie word
DELED	Struck out
OXIDE	Rust or lime
SOLOS	Goes it alone
ORONO	Maine college town
ROOS	Aussie hoppers
ONO	Yoko __
ONENO	Bridge bid, briefly
SONAR	Sub finder
VEX	Exasperate
IBAR	Structural beam
LONNOL	Former Cambodian leader
LOATH	Disinclined
LONE	Hermitic
ELIA	Essayist's alias
ADA	Nabokov novel
AGOGO	Phrase in disco names
GETS	Catches on to
OENO	Wine prefix
REDDER	More visibly embarrassed
ELLE	Model Macpherson
NEAP	Tide type
POOP	Info
NAN	Bert Bobbsey’s twin
DEAL	Good buy
SOTTO	__ voce (softly)
STABLE	Groom's workplace
ORE	Assayer's specimen
LST	D-Day craft: Abbr.
SCABS	Replacement players, perhaps
SHOD	Did a smith's job
DEKED	Faked out on the ice
RACECAR	Indy entry
RIGA	Latvia's capital
ALLA	__ breve (2/2 time)
CLEM	Skelton's Kadiddlehopper
RAUL	Julia of "The Addams Family"
PERPS	Cops collar them
ROME	Seven Hills site
POME	Apple or pear
SKED	Agenda, informally
MILL	Structure by a stream
MOM	Classic tattoo word
ABABA	Addis __
BEE	Domesticated insect
ASS	Sancho Panza's mount
KOOK	Weirdo
OGLE	Lecher's look
BLUES	B. B. King's genre
EMME	Noted plus-size model
MAAM	"Just the facts, __"
SELES	Rival of Graf and Hingis
DEED	Monopoly card
