FOBS	Palms (off on)
FACT	"Is that a ___?"
OBOE	Poulenc's "Sonata for ___ and Piano"
BIRDCALLS	Coos and hoots
SEA	Triton's realm
ASPS	Egyptian symbols of royalty
ALERTS	Red lights and flares
SIXTH	Musical interval
PEASE	___ pudding (British dish)
SUM	Arithmetic exercise
RAKES	Casino equipment
RIBROAST	Beef cut
AWEEK	Hebdomadally
KELSO	Five-time Horse of the Year, 1960-64
ERITU	Verdi aria
SEEST	"What ___ thou?" (biblical query)
ABIE	"___ the Agent" (old comic strip)
LIEU	Place
IWERE	"If ___ you ..."
CORALEXAM	Certain marine biologist's test?
LANE	Word with bus or memory
BELIE	Gainsay
TED	___ Kooser, former U.S. poet laureate
ARTS	Cultural stuff
CRESTS	Tops
COPRA	Dried coconut meat
CONTHELOOKOUT	One way to get into a gang's headquarters?
OVID	Poet who wrote "At night there is no such thing as an ugly woman"
LOESS	Windblown deposit
LEAVES	Splits
LUCE	Time-honored name
EGON	Expressionist Schiele
OPA	F.D.R. agcy.
UGLI	Wrinkly fruit
BOERS	"Breaker Morant" people
BLINI	Thin pancakes
OKD	Let pass
WAS	Lived
WOLFSBANE	Poisonous flower
AMER	Western Hemisphere abbr.
SEXY	Hot
COLDFOLKSATHOME	Eskimos in an igloo?
FARPOINT	Utmost distance from the eye at which an image is clear
OCEAN	Triton's realm
HANG	Not be resolved
ENS	Many a person on the U.S.S. Enterprise: Abbr.
ACIDS	Stomach contents
ALEX	"'Starts With F' for a thousand, ___"
REN	Cartoon pooch
PANFRY	Prepare trout, in a way
PINEAL	Kind of gland
ANON	Like most adages: Abbr.
COILPAINTINGS	Pictures of Slinkys?
CAUSA	___ finalis (purpose, in law)
OSTAR	Massive, very hot celestial orb
ISERE	French frigate that carried the Statue of Liberty to the U.S.
LORAN	Nautical acronym
NOONE	Who has won an Oscar for Best Actor three times
TEVYE	"Fiddler on the Roof" role
ASSOON	Part of A.S.A.P.
OENO	Prefix with -phile
BEL	___ canto
EROS	Carrier of a bow and arrows
LEGS	Stamina
UTERI	Wombs
COVENWARE	Witches' pots, pans, etc.?
CAP	Climax
WSJ	Financial paper: Abbr.
SARAN	Cling Plus brand
ANYA	Novelist Seton
SNOG	Kiss in Kensington
ARENT	"___ we all?"
PEEL	Zest
JESS	1910s heavyweight champ ___ Willard
