GROWNOLD	Aged
GLOB	Whipped cream serving
RONI	Rice-A-___
OTTO	"No, No, Nanette" lyricist Harbach
WHOM	Pronoun in a Hemingway title
NAPE	Puppy pickup point
ORO	Gaucho's gold
LIFTER	One may be spotted in a gym
DOSIDO	Revolution in square-dancing
DOH	Cry from Homer Simpson
DEADON	Precise
ORG	E-mail address ending
HAHAS	Comedy club chorus
VWS	Bugs
VETTE	Flashy Chevy, for short
WATERSIGN	Cancer or Scorpio
SPIRES	Architectural tapers
FIST	Hook deliverer
FASO	Burkina ___
ILLUSAGE	Bad treatment
SPORTCAR	12-Down, for one
TOPSEEDS	Best players, usually
LOTHARIO	Romeo
ERA	Christian ___
EAP	Literary monogram
ALPO	Chow chow chow
ONTOPOFSPAGHETTI	SPAETZLE
PERU	Big copper exporter
EFT	Eastern newt
SLOP	No haute cuisine
BIOME	Ecological community
TIED	Seven up, e.g.
AFTERHOURS	HOUSE
HOW	Something to be shown
PEDRO	Pitcher Martinez
PGA	Annual tourn. holder
STEREO	Record player
STE	Fr. martyr, maybe
ABOVEGROUND	GROUCHY
AMPLIFY	Heighten
BOLOTIE	Western accessory
ORESTES	Brother of Iphigenia
VIBE	Feeling
ETE	Hot time in Québec
DUO	Pair
SSW	Berlin-to-Leipzig dir.
ACE	Good thing to have in war
MORITA	"The Karate Kid" co-star
UTERI	Development areas?
TWO	Pair
EIN	Magazin article
RNA	Molecular biology topic
EGAD	Antiquated outburst
EDNA	Seat of Jackson County, Texas
PLEBE	Academy newcomer
FOLLOWINGORDERS	ORDINAL
FALL	Eden event
OHTO	"___ be in England ..."
LOEW	MGM co-founder
LEAS	Pastoral expanses
ODDEST	Most curious
ROILS	Disquiets
LOSE	Shake
TAHOE	California's ___ National Forest
THEMED	Like some modern restaurants
ONANDON	Protractedly
ITT	Old telecommunications conglomerate
NHLTEAM	Panthers, e.g.
NBAER	Hawk or Hornet
MEL	With 104-Across, former voice of "This Week in Baseball"
DIAPER	It may be needed for a change
PETERII	Czar who succeeded Catherine I
ELITISM	Undemocratic tendency
RIPOSTE	Dorothy Parker delivery
FIE	Cry of disgust
BELOWSEALEVEL	SEALING WAX
AAHS	Sounds from a sauna
LXII	Year the empress Octavia was murdered
ENTO	Prefix with dermal
VEIN	Ore site
ELI	William F. Buckley was one
YESIAM	Reply of affirmation
ITER	Aqueduct of Sylvius, e.g.
LAXNESS	Inattention
TIP	20%, often
TEESHOT	Drive down the fairway
SIGNALRED	Hue stronger than scarlet
HSI	Fu-___ (legendary Chinese sage)
OCA	Mozart's "L'___ del Cairo"
TUN	252 wine gallons
HITIT	Order to a band
VETO	Quash
VOLT	Part of mV
UNDERDISCUSSION	DISDAIN
USERBASE	Software clients, collectively
NORSEMEN	Noted seafarers
DARTFORD	Town near London, site of England's first paper mill
STA	"All aboard!" area: Abbr.
DORIS	Two-time U.S. Open winner Hart
DEF	Excellent, to a hip-hopper
SOAR	What prices may do
GIANT	Megacorporation
DELIST	Take off the stock exchange
DON	Dress in
ERR	Slip
UPN	"Moesha" broadcaster
UAR	Old Mideast inits.
PREPPY	Like Top-Siders and khakis
AHEADOFTIME	TIMBREL
HABITS	They're not easily broken
ELAN	Pizazz
ALIGHT	Step off
DELMAR	Oceanside town north of San Diego
RST	Run in front of U
ARABIA	It's rich in oil
BOERS	One side in an 1899 war
INC	Entrepreneur's reading, maybe
AGENT	One might get a cut
ALLEN	See 60-Down
BEFORELONG	LONE WOLF
ORBS	Celestial array
BAIL	It may be jumped
UPTON	Pulitzer winner Sinclair
USDA	Meat approver, for short
PSAT	Exam for jrs.
TAXI	El alternative
OGEE	S-curve
NESS	Top Untouchable
AMOR	Son of Venus
PRECEDINGMESSAGE	MESS
DUD	Turkey
ENE	Ending with butyl
SERB	Romanian's neighbor
PER	Word before second or hour
NUT	Protein source
HANDAXES	They were striking in the Stone Age
ENDS	Gridiron group
YDS	Gridiron gain: Abbr.
TDS	Gridiron goals, briefly
TREATIES	Détente documents
