BIRDBRAIN	Ding-dong
BIGD	Cowboy's home, informally
IMUS	ABC Radio host
RAIL	Alternative to air
DRT	Sullivan Travis, in a 2000 film title
BEARABLE	Not too awful
RARER	More enticing to a philatelist, say
ALHIRT	Wynton Marsalis's first trumpet was a gift from him
IBET	Response of disbelief
NOREALLY	Response to a disbeliever
XTRA	Remarkably, in commercialese
XRATEDMOVIE	Work with raw material?
TOSIR	Quaint note opener
RAINS	They may pound the pavement
ARAG	"She's ___ doll" (4 Seasons lyric)
IMAREALBOY	Exuberant cry from Pinocchio
YORICK	Of whom Hamlet said "He hath borne me on his back a thousand times"
ROAR	React angrily
GUITARHERO	Hit video game series launched in 2005
ASIA	Minor area?
DSL	Option for seeing the sites quickly, for short
REITERATING	Hammering away at
ARE	Be altered?
TARR	Basher ___, one of the eleven in "Ocean's Eleven"
TOUCHSCREEN	Common A.T.M. feature
AIRERS	Networks, e.g.
JACOB	Third book of the Book of Mormon
JAGR	Five-time N.H.L. scoring leader of the 1990s-'00s
AFRO	Its locks are tight
COAT	Snow on the ground, say
TALCED	Like a baby's bottom, often
AMATE	"___ should keep himself to himself": "Treasure Island"
AFOUL	In a state of entanglement
MLK	Annual honoree: Abbr.
MONO	Precursor to 41-Across
ORES	They may hold the lead
NARC	One looking for a deal?
OTTO	Nobel-winning physicist Stern
GRACE	It's often hard to maintain under pressure
MAY	Blooming period
MARTINIS	Some people like them dirty
BORAT	"Da Ali G Show" persona
BADLIARS	Those who aren't super dupers?
ROTH	Longtime Delaware senator William
RAT	Unpopular singer
RELAID	Put down anew
AVERT	Parry
STEREO	Successor of 31-Across
TUB	Hot ___
ORANGE	Like goldfish
DISCO	Club with a big ball
OCCULT	Alternative bookstore section
OZONE	Gas with a penetrating odor
CESTA	Sports basket
ROLE	Lead, for one
ONDES	Waves on l'océan
AZERBAIJANI	Russian's neighbor
ARAB	Desert mount
JUDE	Law with many parts
APE	Lummox
AIDA	Musical that opens with "Every Story Is a Love Story"
POOR	Description of 15-Down
ENOS	Fourth book of the Book of Mormon
ROSE	Showed respect, in a way
INUNDATION	Flood
TIT	Start of an exchange
ANTE	Table center piece?
DIDGERIDOO	Wind instrument Down Under
BEAN	Bop
SEESSTARS	Reacts to a big buffet
