GATES	Billionaire Bill
GOBAD	Sprout mold, say
ASYLA	Places of respite
TAPIN	Anticlimactic putt
EGO	Elitist's problem
SEP	Patriot Day mo.
ABED	Sleeping in, say
ADLAI	Dwight's two-time opponent
BRAWN	Brain's counterpart
EER	Unceasingly, to Burns
DID	Accomplished
CZAR	Bolshevik's foe
CAMINO	Spanish road
ZEALOUSLY	With fervor
ARNE	Obama education secretary ___ Duncan
RODS	Concrete reinforcers
OSAGE	Lake of the Ozarks feeder
DREI	Eins und zwei
AERO	Streamlined, in brief
BYPOPULARDEMAND	How a former product may be brought back
URSA	Bear overhead?
ERRS	Muffs
ALI	Louisville sports icon
RAW	Like steak tartare
RILES	Provokes
DANTESINFERNO	Tale of a hellish trip
TREE	Dendrologist's subject
ENNA	Central Sicilian city
FUSES	Amalgamates
ENOW	Adequate, in verse
RNA	Biochem strand
UNSOUND	Faulty, as a plan
NOTA	Part of N.B.
DUHS	Cries from the momentarily stupid
AUDEN	"City Without Walls" poet
ASTI	Moscato d'___ (Italian wine)
UPON	Knowledgeable of
DREAMTEAM	Superstar assembly
ESSO	Shell alternative
ETHYL	Alcohol type used as biofuel
SHY	Short
SOU	Trifling amount
SPREADTHEWEALTH	Redistributionist's catchphrase ... or a hint to the words formed by the circled letters
DRNO	Fleming supervillain
EDNA	Cross-dressing "Dame" of humor
ARCH	Roman aqueduct support
TOE	"Piggy"
RHYS	Actor Jonathan ___ Meyers
DRYAS	___ dust (so-o-o boring)
INAGONY	Suffering torment
GARAGE	Mustang's place
ONES	Vending machine input
ANC	Ruling party in Johannesburg: Abbr.
ALAR	Former orchard spray
MANOLOBLAHNIK	Upscale shoe brand
OPERA	Teatro La Fenice offering
BECKY	Tom Sawyer's crush
NESTS	Snuggles
ITEMS	Lovey-dovey pairs
KESEY	Merry Prankster Ken
OUTRE	Eccentric
OPAL	Queensland gem
ULNA	It parallels the radius
PEA	Soybean relative
ETE	Valéry's vacation time
PLEASURECRUISES	Escapes via luxury liner
UTE	RAV4 or TrailBlazer, briefly
RUB	Chafe
UGH	Cry made while holding the nose
IOU	Note from a busted person
ANAG	Puzzling jumble: Abbr.
TURK	Izmir native
GOTME	"Good question"
LAME	Half-baked
EBAY	"Buy It Now" site
HUSSY	Impudent lady
