AMEBA	Pseudopod possessor
APAT	Give ___ on the 7-Down
MUCH	A whole lot
EPEE	Parrier's equipment
BARI	Adriatic port
ALBINO	Hardly colorful
IBO	Nigerian tribesman
IIIAMIGOS	1986 John Landis film, in Rome?
BACK	See 1-Down
OGEES	Certain moldings
SMOG	E.P.A. concern
STALAGXVII	1953 Billy Wilder film, in Rome?
MOTEL	___ 6
OMANI	Sultan's subject, maybe
GENOA	Salami choice
PUPAL	In the third stage
IAGO	"And what's he then, that says I play the villain?" speaker
ORSON	Director Welles
TOME	Encyclopedia unit
ACERB	Tart
ICER	"Happy Birthday" writer
ATAN	___ all-time high
THEIIJAKES	1990 Jack Nicholson film, in Rome?
JONES	Amos's last name, in "Amos 'n' Andy"
LENO	NBC stalwart
NOM	Jacques or Jeanne
SOMALIA	Locale of 1990's fighting
MAE	Ginnie ___
SLAVONIC	Russian Orthodox language
SCAR	Permanently affect for the worse
LANE	Channel
ANTS	Tunnel builders
VIIIMENOUT	1988 John Sayles film, in Rome?
CANTS	Jargons
NAG	Hound
CANI	Question to mom or dad
EGAL	Even, to Yves
LIIPICKUP	1986 John Frankenheimer film, in Rome?
EXACT	Demand
AIDA	Opera with chariots
CELL	Spy group
TRES	___ bien
ANTI	Debate side
SONIC	Kind of boom
CREMA	Caffè additive
VIER	Contestant
RESIN	Gum
NIL	Zilch
STIR	Whoop-de-do
IDLE	Not engaged
MID	Prefix with century names
DIXIE	Kind of cup
SPECIALS	Waiter's recital
CANADA	Six-time champs in Olympics ice hockey
FIDELIO	Beethoven opera
FOCAL	Kind of point
IRATE	Steamed
DARTS	Sudden moves
OVATE	Like many amphitheaters
IMA	Cole Porter's "___ Gigolo"
ORAN	Algerian port
XVICANDLES	1984 John Hughes film, in Rome?
ISTS	Believers
DRAB	Grayish
LEVI	1890's Veep ___ P. Morton
ENID	Chisholm Trail town
SADE	Marquis de ___
CARO	Italian "dear"
IASK	"Now ___ you!"
ARENA	Venue
ATTU	Westernmost of the Aleutians
ETTU	Words of accusation
DAVID	Michelangelo masterpiece
LEST	In case
ESP	Unproven ability
ABIDE	Endure
