TWO	Common ticket buyer's request
TAJ	Atlantic City casino, with "the"
WOODCHAT	European shrike
OKLAHOMASOONERS	Crimson-and-cream team
BELT	A loser may have to tighten it
BLYS	Poet Robert and others
EEG	Med. wave-catcher
LARVAL	Premetamorphic
THEENDOFTHELINE	Terminus
BEARIT	Grin's partner
BANAL	Far from fresh
ERG	CGS unit
ALIA	Inter ___
READINGRAILROAD	It costs $200 in play money
INNATE	Like some behaviors
TETRAS	Fish store stock
AOK	Apollo approval
LEAH	Mother of Reuben and Simeon
ARLENE	Francis of "What's My Line?"
JOLLYGREENGIANT	Goliath on a can
LII	Number of weeks per annum?
ENTAIL	Require
DAIS	Oration location
VENA	___ cava
ADAR	Shevat follower
CHI	Life force, to an acupuncturist
MANTLE	His "7" was retired
MINEO	"Exodus" actor
EDIBLE	Fit to be taken in
ITA	Juan follower?
OHO	Amusedly surprised cry
OSS	W.W. II agcy.
HILDA	Margaret ___ Thatcher
HAUTES	___-Alpes (French department)
DANES	More than five million Europeans
ANET	Without ___ (riskily)
SAMOAN	Robert Louis Stevenson, by adoption
OTIS	Groucho's "A Night at the Opera" role
OILING	Mechanic's job, at times
LIARS	Dupers
STATUEOFLIBERTY	Torchbearer
OUTBID	Topped on eBay
TILLERED	Sent forth new shoots from the base, as a plant
YSL	Fashion monogram
SITOUT	Skip, in a way
ALTAIS	Some SW Russians
MOOSE	Rack carrier
MENIAL	Like some tasks
OLIVIA	"Twelfth Night" countess
THERE	See 49-Across
EROTIC	Apt to get an R
ILL	Missing work, maybe
ELO	"Xanadu" grp.
SABERS	"Light" weapons
AKINS	Sheriff Lobo portrayer
ALL	With 43-Across, sane
AUF	On, in Osnabrück
NINE	Pretty high rating
ESME	Salinger title character
KILO	It may be found in a bust
PURE	Unsullied
PESO	Eight reals, once
IVESAIDITBEFORE	Reiteration declaration
AAR	Rhein feeder
BLT	Club alternative
ESE	End of a race?
AIRMAN	One whose business is taking off?
NILS	Guitarist Lofgren
AES	Loser to 63-Across
LASERS	Surgical equipment
ECTO	Prefix with parasite
DDE	Old polit. inits.
