EDITED	Ready for publication
EGAD	"Good grief!"
DECO	Art ___
INCA	Quechua speaker
TOE	Low digit
EMPTYNEST	What many older parents face
DETENT	Locking lever
COLORS	Flag
CADS	Rogues
ORU	Tulsa sch.
LAS	___ Cruces
ORATES	Elocutes
RAGOUT	Seasoned stew
STERN	Harsh
DSL	Certain Internet connection: Abbr.
DER	"___ Fuehrer's Face" (1942 Disney short)
SLOWPOKE	Dawdler
LASALLE	Explorer who claimed Louisiana for France
TDS	Things refs raise their arms for
TINNY	Thin-toned
DONEE	Recipient
SNERD	Bergen's foil
GENOME	Full chromosome set
ARARAT	Pairs' debarking point
ELATION	Joy
TARO	Poi ingredient
ACCEPTEDUSAGE	234, as of July 4, 2010?
ENE	General dir. of Sal Paradise's return trip in "On the Road"
ROSANNE	Cash in the music business
DOA	1950 noir film
TENS	Perfect specimens
TORN	Divided
NECTAR	Peach ___
WARNER	___ Bros.
DYNE	Unit of force
DIRT	Gossip
THEUNEMPLOYED	Workers in a global peace organization?
TONGS	Grillers' grabbers
HIGH	On dope
MOATS	Things that drawbridges bridge
SQUINT	Hard look?
SOPUP	Absorb
QUITO	Headquarters of the Union of South American Nations
UTTER	Speak
FOIST	Pass off as genuine
FOREST	"Hansel and Gretel" setting
COOL	Hip
OUTRE	Unconventional
GONG	Remove from a talent show, maybe
GUPTA	CNN's Sanjay
TAKEFLAK	Come under criticism
FJORDS	Northern inlets
LASH	Any tail in a cat-o'-nine-tails
APSO	Lhasa ___
KEEP	Not spoil
PITTSBURGHPIRATE	What gumshoes charge in the City of Bridges?
BADLY	Not well
POTAGES	Thick soups
IDOLS	Miley Cyrus and Lady Gaga, e.g.
ROMA	Tomato type
JAPE	Kid
UTE	Native Coloradan
TAPES	Some court evidence
ODORS	Signs of spoilage
POSSE	Group following a star?
PAR	Hole number
PORT	Left at sea
TBILLS	Some short-term investments, briefly
DTS	Drinker's problem, for short
ATOM	Word that comes from the Greek for "indivisible"
ARILS	Seed coverings
BARHOP	Not stay long for shots?
BOSSA	___ nova
BILATERALACCORD	Symmetrical power conductor for appliances?
ITE	Adherent: Suffix
EDGE	Advantage
CAVERN	Site of some paintings
CHATS	Informal exchanges
CAVITY	Hole
CAPP	Li'l Abner creator
AGAR	Food thickener
VILE	Loathsome
DIGS	Makes holes
AHS	Sounds of understanding
SARI	Wrapped garment
ALFIE	1967 Dionne Warwick hit
RAFTS	Some constructions on "Survivor"
INSET	Certain detail
AGILE	Nimble
EAGLE	Any singer of "Hotel California"
EXILE	Bobby Fischer, once
ACTSOF	Words before "kindness" and "the Apostles"
AVAST	"Stop!"
AVAIL	Be of use
TREATABLE	Like diabetes
LAN	Grp. of connected PCs
PALL	What's borne at a funeral
EXCESSIVETARIFFS	Too much guitar work by a professor's helper?
ELEGANCE	Refinement
IOTA	Tiny bit
ILLS	Woes
PRESPLIT	Like some English muffins
PENDANT	Cross or star, often
OARS	Scullers' needs
ELITE	Best
EELS	Aquatic shockers
ASTIN	"The Addams Family" co-star
ADROIT	Dexterous
SEEMTO	Apparently do
PALEST	Most easily sunburned, maybe
PILAFS	Rice dishes
STRANGEORDEAL	"Pay in cash and your second surgery is half-price"?
STILE	Steps that a farmer might take
TINAS	Brown and Turner
RESTS	"The defense ___"
ANTE	Stake
RACKS	Prepares to play pool, say
AITS	Small islands
ALL	Tie indicator
TIENDA	Nuevo Laredo store
FARE	Get along
ELLA	Singer Fitzgerald
ENGR	Many an M.I.T. grad
APE	Galoot
ARIA	"Che gelida manina," e.g.
PERM	Salon option
ERSE	Celtic tongue
INSTANT	Second
TYE	Nautical rope
COMMONLABORER	Typical termite in a California city?
MIR	Novy ___, Russian literary magazine
ONE	Low digit
OAS	International grp. since 1948
LATENCY	Inactive state
KITING	Using fraudulently altered checks
FLAIRS	Sharpie alternatives
ESS	Preceder of 116-Across
TEE	Follower of 115-Across
STORER	Pack rat
SESAME	"Opening" word
