LACK	Are short
LAMPS	Office items
AFOOT	Under way
CRUDE	Unrefined
KOS	Floors at M.S.G.
EROS	Asteroid viewed by the NEAR spacecraft, 2000
EYELASH	Cilium
REAM	Use a juicer on
OAK	Pin ___
SHAPE	Physical condition
MARKS	Targets
MAJORCA	One of the Balearic Islands
ARABLE	Fit to be farmed
REBA	Singer McEntire
KNOT	Speed measure
SATE	Stuff
AFRO	Pick target
YEAH	"Uh-huh"
ARENA	Circus site
MOUSSEAKA	Greek dish/French dessert combo?
SENSO	Feeling, Italian-style
JABOT	Frilly neckpiece
POD	Okra bit
ELM	New Haven, a k a ___ City
PROBATE	Kind of court
RAIL	Pedestrian aid
STERNA	Breastbones
RAZE	Flatten
EARL	___ of Sandwich
ASSAY	Analyze
AREA	Territory
YELLS	Whoops
ICEMAN	One who leaves people cold?
MAME	1974 title role for Lucille Ball
AXON	Dendrite's counterpart
NERO	Peter of the Philadelphia Pops
MATZOHRELLA	Cheese served on Passover?
MARC	Artist Chagall
AGUA	Fuego extinguisher
TERM	Period
LOLA	Girl's name spelled out in a 1970 hit
AXE	Sharp feller
AGEE	Arthur of "Hoop Dreams"
ELO	"Rock 'n' Roll Is King" group
AMOR	Cupid
APSE	Church part
RUR	Karel Capek classic
CHALLAHPENO	Pepper with Jewish bread?
CRESTED	Like some flycatchers
HANS	Counter inventor Geiger
AVOCADO	Nacho dip flavor
HELIC	Spiral: Prefix
CAMERA	Snap's out of it?
EMERGE	Develop
SAVES	Reserves
MENS	Magazine category
SAFER	"60 Minutes" man
OLEARY	Mrs. with a famous cow
ALIBI	Court story
RENEE	Actress Adorée
YIELD	Word in a triangle
VANESSA	One of the Huxtable girls
VALE	Forum farewell
ALAN	Rock 'n' roll pioneer Freed
NERD	Bully's prey, often
SCI	Bill Nye subj.
STAT	"P.D.Q., doc!"
LEI	It might dip into your poi
ALERT	Red flag
FETACCINE	Cheesy pasta?
EGO	Cause of star wars?
CAL	Double Hall-of-Famer Hubbard
LARGE	T-shirt specification
EGAD	"Our Boarding House" oath
ABEL	Rima's "Green Mansions" beloved
ENDED	Over
ROTO	Old newspaper section
LIED	"So I ___"
