SHEBANG	Whole ___
SRTAS	Misses at fiestas: Abbr.
HORDE	Group of 6-Down
ETUDE	Exercise of a sort
BASINGER	Best Supporting Actress of 1997
ATTS	Some defenders: Abbr.
NOMADS	See 2-Down
GREBE	Relative of a loon
STJAMES	Place on a Monopoly board
SYMBIOSIS	Mutualism
TATA	Cry before disappearing
JRS	Univ. class
ADIDAS	Sportswear company whose logo is three parallel stripes
MANICURED	Like a well-kept lawn
EGAN	Science fiction author Greg
SEIS	Number of wives of Enrique VIII
ROTATOR	What goes around
YARDAGE	Gain or loss
TRUSTME	Line from a scam artist
MTSINAI	Tablets site
ADDISABABA	Where the African Union is headquartered
ALJAZEERA	Mideastern news source
DINS	Headache intensifiers
SEEN	Patient status
DELI	Slicer locale
VAC	Little sucker?
VIAGRA	Sex therapist's suggestion
GDS	Dept. store stock
DRESSY	Smart
JOEISUZU	Fictional salesman of '80s ads
EYE	One held in an orbit
ZALE	___ Corporation (jewelry retail giant)
UPDO	Hair salon option
COWER	Shrink
CFOS	Corp. bigwigs
OLIO	Jambalaya
WOLFSBANE	Monkshood
EASYA	It's hard to fail
EZIOPINZA	Co-star of Broadway's "Fanny"
RAP	Grammy category
FLORENZZIEGFELD	Biographical subject of the Best Picture of 1936
NTH	Indefinitely large
FOLDABLE	Like many a road map
OIL	A driver might dip into it
STIES	Farm housing
RODEO	Place for a clown
SOFTSHOE	Tap type
THATIS	Clarifying words
TAL	He beat Botvinnik in 1960
TSTRAP	Pump alternative
SHY	Unlikely to break the ice
PRES	Firm wheel: Abbr.
ENGRS	Boeing personnel: Abbr.
DIEM	Per ___
INBAD	On the outs (with)
EDATE	Virtual meeting of a sort
MAGEE	Patrick with a Tony
REBA	1988 chart-topping country album
ROBO	Cyborg's beginning?
EVEL	First name in motorcycling
GIANTPANDA	Resident of Chinese highlands
GOER	It may follow convention
PANE	Oft-framed piece
OVATION	Hero's welcome
ITT	Cousin of TV
GRABBAG	Jambalaya
BENITEZ	Relief pitcher Armando
RANLATE	Went over
OLESTRA	Substitute for some snack foods
SPEEDEE	McDonald's mascot before Ronald
