AMPS	Current units
AMEBAS	One-celled pond dwellers
MADEDO	Got by
PIDGIN	Hardly the Queen's English
SLATE	List of candidates
DUOS	Many comedy teams
DADE	Miami-___ County
UNIQUE	More than unusual
ONEUP	Get the better of
SEMESTER	Academic term
STASH	Squirrel away
SCOTTY	Shipmate of Bones and Spock
TAXI	Downtown cruiser
ARBOREAL	Like sloths and tree toads
STONEAGE	Alley Oop's time
HEW	Chop down
MAIL	Some is junk
ANNE	Archer of "Patriot Games"
CARTE	Marseille menu
EDDA	Collection in Old Icelandic
DIEM	Carpe ___
OXBOW	"The ___ Incident" (1943 Fonda film)
BEGTHEQUESTION	Assume what's being asked
HUMOR	Sitcom material
SEEKOUT	Search for
ADIEU	Parting word
UPSET	Not happy
RED	Flushed
DRS	Welby and Kildare: Abbr.
SON	Trinity member
MAE	Ginnie ___
ASOCIAL	Not gregarious
TEY	Mystery writer Josephine
EAR	Mr. Potato Head part
DOS	Early Microsoft offering
DRY	Like some martinis
EEK	"A mouse!"
ETS	Sci-fi visitors
BAGS	Captures
BBS	Air rifle ammo
BORROWTROUBLE	Wake sleeping dogs, so to speak
BANISTER	Item that may be slid down
OVERTIME	Paycheck booster
WORSTOFF	Least fortunate
UMPED	Called balls and strikes
DAVY	___ Jones's locker
DEF	Rock's ___ Leppard
COS	NASDAQ listings: Abbr.
UMS	Speakers' pause fillers
ENE	Ending with methyl
SIR	Round Table title
STATES	The contiguous 48
STP	Indy 500 logo
SOILED	Dirty
SPA	Place to take a cure
STARES	Oddballs may draw them
PISCES	Zodiac fishes
ATEASE	"Ten-hut!" undoer
FIR	Cone bearer
TASSO	Italian poet Torquato ___
SHIRE	Talia of "Rocky"
EATIT	Suffer a loss, slangily
ABOVE	Beyond's partner
STEALTHIRDBASE	Get closer to home, in a way
ELMS	"Desire Under the ___"
RYES	Cereal grasses
ATILT	Not level
AFT	Toward the tiller
OILY	Like service station rags
ORCA	Black-and-white hunter
FEMME	___ fatale
FREE	At liberty
VEES	Victory signs
TRESS	Long lock
FEDS	A.T.F. agents
ESSE	To be, to Tiberius
