PAPERS	Documentation
PITMEN	Miners
AVIATOR	Ace
POPSTHEQUESTION	Makes an important proposal
EROSE	Jagged
RIFE	Filled
SET	Firm
LIOTTA	"GoodFellas" co-star
LACES	Makes more powerful?
ILES	Guadeloupe and Martinique
OTB	Tout's hangout: Abbr.
THECOLOROFMONEY	1986 Martin Scorsese film
TERRIER	Boston ___
ARGONS	Some lasers used in laser shows
IVORIES	They may be tickled
SHAITAN	Devil, to Muslims
WALTHER	Major handgun manufacturer
WILEE	___ Coyote
TIPOFTHEICEBERG	Hardly everything
EXTREMECASE	Atypical example
MASSE	Pool stroke
AXLES	Bars on wheels
CRO	Early man prefix
ETTE	Suffix with super
MITES	Garden blight
MINES	Goes for the gold?
COIN	Football referee's need
COVEN	Group of 13
NOH	Plays with masks
LITRE	BP purchase
LIEIN	___ wait
BOLES	Trunks
BAHAI	Faith that teaches the unity of all races
RETINAE	Picture receivers
TUNES	Whistle blowers' concerns
SAVOR	Enjoy
STEVE	Allen or Martin
QUEENMOTHER	Noted centenarian of August 4, 2000
OLDSONG	"The 12 Days of Christmas," e.g.
TUNIS	Gulf of ___ (arm of the Mediterranean)
THEURGE	A strong impulse
ELEANOR	D.C. Rep. ___ Holmes Norton
ROBOCOP	Movie lawman
SHEEN	Radiance
SLOPES	Trigonometric figures
MCDVI	Year Fra Filippo Lippi was born
METES	Measures
FOL	Coming after: Abbr.
LIKENS	Compares
LESS	Discounted
LEASE	Let
LATTE	Morning waker-upper
AMBI	Prefix with sexual
ABALL	What the Staten Island Yankees play, informally
OUT	Published
FATSO	Chub
FAST	Securely
ABOOK	Know like ___
ARLO	Author/poet ___ Bates
PRIVATEENTRANCE	Part of a professional's home/office
VIA	Itinerary part
TAP	Water source
EGOISTS	They don't care about you
GALLEON	"The moon was a ghostly ___": Noyes
SENATE	Subject of Article I, Section 3, of the Constitution
POLYPS	Coral creatures
