LOEB	Pop singer Lisa
LEWIS	Partner in exploring
OCHRE	Yellowish
ERIES	Eastern Indians
BURNT	Like ashes
BLAB	Yak
BLISTERS	Sore spots
LUG	Galoot
ATIP	Not having one's feet flat on the ground
BEGAT	Produced
AGIRL	When repeated, 1954 Eddie Fisher hit
AMBLES	Moseys
GYROSCOPE	Rocket part
ILIA	Pelvic bones
RAND	South African gold discovery site, with "the"
LIES	Not just evasions
ECRU	Grayish yellow
LUTE	Guitar forerunner
MYLAI	Vietnam site in 1969 news
WHIRLIGIG	Child's toy
LEECH	Parasite
BRINE	Distasteful solution?
IRENES	Cara and Castle
PAYLOADS	Shuttle cargoes
YEA	Legislator's cry
SESTETS	Octave followers
SEEP	Ooze
TEES	Driving spots
CEES	Straight ones = 2.0
SNIPS	Disrespectful ones
ASCENT	Half a mountaineering expedition
EVIL	Axis of ___
NELL	Dudley Do-Right's beloved
TREY	It doesn't take much
BRETHREN	Sermon recipients
BYES	Some tourney draws
RAMP	Way up or down
ELIA	Director Kazan
TURNTABLE	Once popular player
OVER	Transmission ender
YALU	Korean border river
SPINS	What 17-Across, 62-Across, 10-Down or 35-Down does
NOUS	Entre ___
STRAPPED	Broke
PILE	Tidy sum
EMIR	Mideast title
POTBELLY	Overeater's problem
BERLE	The Thief of Bad Gags
SPANKS	Hits the end?
KANSAS	"The Wizard of Oz" setting
SRO	Broadway sign
SURE	"Why not!"
TARS	Blackens
SUPER	Terrif
SARCASM	Some cracks are full of it
CALVE	Have farm young
ATLAS	Pathfinder?
STEIN	It's held during Oktoberfest
MERLE	Cosmetician Norman
CLEANOUT	Purge
CHAR	Overcook
LEVI	Son of Jacob
ERIC	Philosopher Hoffer
TRIO	Cream, of 1960's rock
PLATTE	River across Nebraska
HERBS	Rosemary and others
PROPELLER	Thrust producer
ONA	___ par
AVILA	St. Teresa's birthplace
EINE	Article in Berlin
VAIL	Resort east of Glenwood Springs
RICES	Prepares potatoes, in a way
ROAD	Jam site
ESNE	Hireling, in history
