CAUSEDASTIR	Rabble-roused
CAPP	Sadie Hawkins Day creator
AUEL	"The Valley of Horses" novelist, 1982
UTNE	Magazine founder Eric
SONATA	"Tempest," for one
ERS	First responders' destinations, briefly
DET	Comerica Park team, on scoreboards
AVA	"Nip/Tuck" character Moore
SETTLES	Quiets
TRIES	Is a real burden to
ISON	A couple of words after the race
RENEW	People may ask you to do this
SID	Luckman of Chicago Bears fame
SAMELLIOTT	Actress Katharine Ross's actor-husband
INONESENSE	"You could look at it this way ..."
DISTRESSED	Upset
AUTOREVERSE	Tape deck convenience
ANI	Boyhood nickname in "The Phantom Menace"
PENNSTATION	Its clock was featured in the 1945 film "The Clock"
MOS	Perps' preferences
PLEA	"Help!," e.g.
TENEMENT	Overcrowded digs
MYERS	Shrek's voicer
TBILLS	Ones maturing quickly, for short
BRACT	Petal-like poinsettia part
IRMA	Bygone radio "friend"
LIANE	NPR host Hansen
WYLER	Recipient of a record 12 Best Director nominations
JMBARRIE	Best-selling children's author who became a baronet
JUMPTHEGUN	Be too hasty
MARIAELENA	1941 Jimmy Dorsey chart-topper
BLINDALLEY	It leads nowhere
ELSE	Further
UAL	Delta competitor: Abbr.
AMASS	Get together
SPINE	Moral fiber
PRIES	Sticks one's nose in
PINTA	Ship to the New World
MRISCAN	Diagnosis facilitator
SOAVE	Chardonnay alternative
PRISONS	Where people do stretches
RASP	Imitate Don Corleone
PINOT	Wine option
ELIAN	First name in 2000 headlines
LUREDIN	Seduced
TSE	Japanese market inits.
TADA	Cry of accomplishment
UNSTATED	Tacit
ANORAK	Preventer of northern exposure
HEAVE	Cry made with great effort
ERRED	Was off base
TREPAN	Mine shaft drill
TENPM	Prime-time time
ELLERBEE	Multiple Emmy winner for "Nick News"
BAMA	Bart Starr's alma mater, briefly
OOLA	"Return of the Jedi" dancing girl
ODIE	Tongue-lolling comics character
LESE	Majesty lead-in
ARTS	Entertainment partner?
GEL	Come together
RANDOMORDER	Shuffling goal
ORY	Kid ___ (old bandleader)
MEA	"Drop ___ line"
OWN	Be undefeated against, in sports lingo
UNE	Rimbaud's "___ Saison en Enfer"
EMPIREWAIST	Dress style that appears to lengthen the body
NAY	Thumbs-down
DAMNYANKEES	Modern retelling of the Faust legend
