CANS	Sends packing
CINCH	Breeze
ADELE	Designer Simpson
NOMANSLAND	Gray area
SLOPPED	Trudged through mud
SWAP	___ shop
SEARCHPARTIES	Posses, possibly
WREAK	Unleash
AARP	Seniors' grp.
PSI	Telekinesis, e.g.
SCALE	It holds its weight
SOLACER	Comforter
CRIPPLE	Undermine
ALSO	On top of that
LOTS	Things to draw
ENS	Lt. j.g.'s inferior
IDOL	Fawned-over figure
ERAS	Extended periods
ORLON	Acrylic fiber
NEMO	Captain played in film by James Mason
AERIALISTS	Circus team
ACCIDENTPRONE	Klutzy
CLAPTRAP	Baloney
TET	Lunar calendar observance
CAPOS	Syndicate heads
HENPECK	Harry the hubby
CCCP	Onetime cosmonaut's insignia
CHERI	Enfant ___ (beloved child)
SETH	Clockmaker Thomas
SHIELDER	Ozone layer, e.g.
SPOOR	Wild animal trail
DATINGGAME	Singles may play it
EMUS	Feathered runners
RSVP	Short answer
MOLD	It may be broken by a maverick
MUTI	La Scala music director beginning 1986
OVEN	Roaster
PIPEDREAMS	They're unlikely to be realized
IDLES	Dogs it
UVA	Charlottesville sch.
ADORE	Dig a heap
TUV	8 on a phone
TENDERLOIN	Flank alternative
DEIGNED	Lowered oneself
ENRAGES	Brings to a boil
WISP	Thin streak
WINESAP	McIntosh alternative
INDENTER	One hitting the tab key, maybe
TWIN	Matching
WAN	Washed-out
IRIS	Freesia's family
SPANGLY	Sequined
SADAT	Time's 1977 Man of the Year
LIRAS	Turkish bread
YEAST	Source of some swelling
ALGAE	Plankton, in part
AHME	[sigh]
LICE	Some ectozoa
CARNEGIE	Man of steel?
CORE	Heart
THINGSTODO	Agenda
TEN	See 52-Down
TOP	With 51-Down, a hit list?
SARA	Gilbert of "Roseanne"
EMCEE	Act introducer
ORAN	Port captured by Allied forces in 1942
AMAS	Latin 101 word
NEEDS	Philanthropists' concerns
PETE	Rose in a field
PEST	Pain in the neck
