TOTAL	Completely wreck
TAB	Treater's pickup
OER	"___ the land of the free ..."
TRIPLECROWN	Racing feat
AIDA	Broadway musical with the song "The Gods Love Nubia"
LEGS	Crab morsels
ELL	Pipe shape
EFFETE	Lacking vigor
LEI	Handout at a tiki bar
LENS	Shutterbug's purchase
IDAHO	Twin Falls's home
IGNITE	Set off
DICTA	Formal rulings
AVI	Bird: Prefix
HEN	Old biddy
ORG	.com alternative
AERIE	High home
FEE	Finder's reward
GIVER	Generous soul
BRIDGEFINANCING	Loan to a company before it goes public, say
ETCH	Impress clearly
ALIGHT	Land (on)
PASTE	Computer command after cut
SLIT	Gill opening
POL	D.C. insider
POD	Part of a commercial name after "i"
OVATION	It may be standing
CTR	N.F.L. position: Abbr.
RENEWED	Extended, as a membership
ITASCA	Lake that is a source of the Mississippi
STREETLAMPS	Lights on posts, perhaps
COASTED	Didn't work that hard
ADS	They may pop up nowadays
OVERTHEEDGE	Spilling out
RHOS	Greek R's
TAU	Greek T
DAD	Nascar ___
TOD	Director Browning
DACHA	Russian country house
NAH	Slangy turndown
ERAS	History chapters
EMIL	Expressionist Nolde
TROUBLEDTIMES	Periods of unrest
BRASSY	Harsh and metallic
LAT	Long. crosser
IDI	___ Amin
BIOS	Life stories
BRA	It has a supporting role
RAW	Unedited
DIETS	South Beach plan and others
SRS	Grads-to-be: Abbr.
ROW	Seating info
WATERFILTER	Remover of impurities
WETBAR	Home mixologist's spot
ROGUES	___ gallery
FAIL	Go bankrupt
ANNIES	"___ Song" (John Denver tune)
INGLE	Fireplace
DOA	___ one-eighty
LDS	Mormons, initially
NTSB	Crash-probing agcy.
BPOE	Fraternal org.
GINZA	Place to shop in Tokyo
NSEC	Tiny fraction of a min.
ZIMA	Coors brand
SONGBYPAULSIMON	The starts to 17-, 30-, 38- and 47-Across, collectively
SKA	Calypso cousin
OOF	Punch-in-the-gut response
NAT	Rebellious Turner
AWL	Saddler's tool
OTT	Baseball's Master Melvin
NYE	Carrie of "Creepshow"
KOALA	Arboreal Aussie
OWE	Be short
EMPTY	Pour out from
AFTER	On the tail of
ELS	Ernie of golf
CASTE	Social level
