APE	King Kong, e.g.
AESOP	See 8-Down
PRIMA	___ donna (vain sort)
ESSEN	Ruhr Valley city
HITCH	Trailer's connection to a car
HAS	Contains
ICEJAM	Winter river obstruction
TUNA	Bluefin, for one
CROP	Wheat or soybeans
HARE	Loser to a tortoise, in a fable by 1-Down
ADEPT	Highly skilled
ARAMIS	Fragrance named for a Musketeer
DEBITCARD	Quick, cashless way to pay for things
EVAN	"___ Almighty" (2007 movie)
PUTT	Miniature golf shot
TEES	Gadgets not needed in miniature golf
ERS	Where IVs may be administered
ACURA	Japanese automaker
REVUE	Theatrical medley
SISISENOR	Emphatic south-of-the-border assent
INA	"___ pig's eye!"
ABATE	Lessen
OMEN	Comet, say, to the impressionable
JAPE	Mocking remark
MINTS	After-dinner candies
PANAMA	Central American canal locale
MCS	Roast hosts, for short
FIT	In great shape
FREE	Costing nothing
CMAJORSCALE	Beginning piano student's exercise
ATALL	The Beatles' "Any Time ___"
JULIA	Roberts of "Erin Brockovich"
ONSET	Beginning
AXEL	Rink leap
LONE	The ___ Ranger
ENOS	Outfielder Slaughter in the Baseball Hall of Fame
SLOPS	Feeds, as pigs
SHES	Kenny Rogers's "___ a Mystery"
LOVE	Zero, in tennis
OBIE	Village Voice award
POLYESTER	Leisure suit fabric
TUNE	Thing to hum or whistle
AXON	Neural transmitter
HOBO	Vagrant
FALSE	Test answer you have a 50/50 chance of guessing right
FEUD	Hatfield/McCoy affair
RENO	Nevada gambling mecca
EVIL	Demon's doing
ELIE	Nobelist Wiesel
IDLES	Just sits around
IRE	Ill temper
SEEYOULATER	Parting words
ONEEYE	Cyclops feature
ENABLE	Give power to
END	Finish
NETTLE	Prickly plant
TAE	___ kwon do
TREED	Cornered
LAZED	Vegged out
EBERT	Roger with a thumbs-up or thumbs-down
PASSE	No longer fashionable
PEWS	Sunday seats
ALIT	Touched down
SILO	Storage for forage
ORCA	Killer whale
OSHA	Workplace watchdog org.
REEL	Irish dance
CALL	Do some telemarketing
ARAB	United ___ Emirates
ELITE	A-list
SEABREEZE	Wind that cools a beach
RON	"Apollo 13" director Howard
WILEY	Aviator ___ Post
HELLO	Word said upon answering a phone
EER	Suffix with rocket or racket
STORE	Shop
ALLEN	Woody or Gracie
DDT	Banned bug spray
