MAPS	Cartographers' works
MAGIC	Copperfield's field
ALAMO	Mission in Texas
POPPA	Carl Reiner film "Where's ___?"
SPELLS	Witches' recitations
TADA	"I did it!"
TAN	Color on the beach
ATEIN	Arranged a dinner at home
DOWSE	Walk about with a divining rod
AMYS	Vanderbilt and Grant
FIFTY	Count of stars on a U.S. flag
FIRETRAP	Risky building to be in
INK	India ___
FUSS	Complain
TSPS	Medicinal amts.
YEAR	Calendar's span
ALOP	Canted
ATOM	Minute bit
INUSE	Lavatory sign
GAPE	Gawk
NEWYORKSPA	Catskills resort, e.g.
OUNCE	Scale unit at the post office
IMPLY	Hint at
YMA	Warbler Sumac
ISSUE	Magazine number
SSR	Azer. or Ukr., once
COALMINE	Rich source of fossil fuel
IDS	Passports and driver's licenses, for short
NTH	Utmost degree
HEBE	Nectar-pouring goddess
SAD	Dejected
ACREAGE	Land
ATOR	Origin suffix
ABRA	Incantation beginning
GROW	Develop
ESTE	Medieval Italian fortress city
ARC	Part of a circle
ARTS	Sciences' partner
ROWE	Investment firm T. ___ Price
CROC	Gator's relative
STATEABBRS	Makeup of 18-, 24-, 53- and 64-Across
TATS	Makes lace
ADE	Orange or lemon drink
ROREM	Ned who composed "Air Music"
ELEC	Major util.
MEDALIST	Decorated Olympian
ADO	Commotion
PEROT	Candidate of 1992 and '96
TWOLETTERS	Component length of 36-Across
TEPID	Warmish
SAN	Okinawa honorific
AWE	Inspire respect
SECEDES	Withdraws
ARA	Coach Parseghian
RDS	Interstate syst.
ADAGES	Maxims
CAP	Mortarboard, e.g.
LANDDEAL	Large real estate purchase
LAKER	Cager at the Staples Center
ACIDS	Corrosive liquids
EMOTE	Milk a scene for all it's worth
AORTA	Arterial trunk
LAYER	Coating
ESC	Computer key
EFFS	Flunking marks
SLOT	Schedule position
COCA	Cola's beginning
LILAC	Flowering shrub
LAME	Flimsy, as an excuse
SAMOA	Pago Pago's locale
FLORIDAKIN	Members of Elián González's family, e.g.
RUR	Capek play
NEE	Married name modifier
GORY	Highly graphic
FOCUS	Camera concern
MEDE	Inhabitant of ancient Persia
ETTE	Launder ending
START	All the clues in this puzzle do this with 36-Across
ERSE	Gaelic
SEAR	Scorch
