JESSE	Minnesota's Gov. Ventura
JIHAD	Holy war
ENOLA	W.W. II plane ___ Gay
SKULK	Lie in wait
SINS	They're recited in confessions
ENDEAR	Ingratiate
PABLO	Artist Picasso
PST	L.A. clock setting
APOS	Mil. addresses
BROW	It may be furrowed
LATEX	Material for a doctor's glove
OTHERS	Them
PTA	Educ. support group
PUPPYLOVE	Infatuation
TRUE	Steadfast
ANNA	The "I" in "The King and I"
INKIN	Make permanent, as cartoon drawings
SPRAT	Jack who ate no fat
URN	Big coffee holder
HOUNDSTOOTH	Checked pattern in fabrics
STROBES	Flashing lights
PUN	"Dollars, taxes," e.g., for Dallas, Texas
ALLSET	Ready
SWEETPEA	Flowering plant that climbs
TAILEND	Very rear
DAK	Old terr. west of Minnesota
ART	Paintings
TURNER	The "T" of TBS
XRAY	Part of a dental exam
PROUST	"Remembrance of Things Past" novelist
PENNAME	Mark Twain, e.g.
SIEVE	It doesn't hold water
TERESA	Mother ___
SILKS	Jockey's wear
KNEE	Leg's midpoint
SEND	Cell-phone button
WADE	Walk in water
WISP	Slender one
ARIA	Song for a diva
DOGPADDLE	Slowpoke's swimming style
BRIEF	Short
FOREIGN	From abroad
LONE	Isolated
IRON	Clothes presser
ENERO	First month of el año
EVEN	Integrally divisible by two
SIGN	Writing on the wall, e.g.
SEVER	Cut
NEED	Requirement
PAPAW	Tree with large, oblong leaves
WARMUP	Rehearsal
RESEED	Tend to, as a bad lawn
ERODED	Worn away
AMAS	Amo, ___, amat (Latin trio)
SOUSA	The March King
AIR	Word before France or Jordan
ERR	Flub
ELEGY	Poem for the dear departed
RIFLE	Winchester, e.g.
REFER	Direct (to)
MADEROOM	Opened up space (for)
MOST	The majority
ALOE	Burn balm
OTIS	Elevator pioneer
MTNS	Range: Abbr.
GOALIE	The puck stops here?
AJAR	Open a crack
OLD	Elderly
MUTTANDJEFF	Classic comic strip by Bud Fisher
AGE	Touchy subject, to some people
SOL	Note after fa
USING	Taking advantage of
EAGLE	Top scout
TEE	Golf ball support
PASSE	Like last year's fashions
DRYER	Washer's partner
