PROPER	Capitalized, as a noun
PROVE	Show to be true
ROLEX	Watch with a flexible wristband
ONO	John Lennon's middle name
POR	___ favor (Spanish "please")
ERAS	Big slices of history
REDO	Make over
CASSAVA	Tapioca source
CASTES	Social divisions in India
ALP	Swiss peak
SLR	Camera type, for short
SUITSME	"I have no problem with that"
ARNO	River of Florence
VEGA	Bright northern star
ASST	Aide: Abbr.
IRONORE	Raw material for a steel factory
ICET	Rapper/actor on "Law & Order: SVU"
ALLURES	Draws in
COLORADOSPRINGS	Home of the U.S. Air Force Academy
OOZY	Seeping
EVE	Adam and ___
SOOT	Chimney grime
TOAT	Fit ___ (be perfect on)
TEXAS	State that was once a republic
ABE	Honest ___ (presidential moniker)
SURFEIT	Overabundance
ZETAS	Letters after epsilons
TUNNEL	Path for a mole
AMIABLY	In a cordial way
BUFFYSUMMERS	Vampire slayer of film and TV
FIESTA	Big Spanish celebration
FOE	Enemy
ECHO	Sound heard in a canyon
REAR	Front's opposite
SSTS	Old trans-Atlantic jets, for short
CHEERIO	Brit's goodbye
CLAW	Animal's nail
HARI	Mata ___ (W.W. I spy)
EPIC	Of sweeping proportions
NIECES	Nephews' counterparts
LAP	Once around the track
FEE	Service charge
ANA	Santa ___ winds
ADA	Tooth doctors' org.
HAT	Stetson or sombrero
ARISES	Comes into play
SHANANA	Musical group with its own 1977-81 TV show
DEBTORS	Writers of i.o.u.'s
TSE	Mao ___-tung
WICHITAFALLS	City in 21-Across
ARCANE	Esoteric
FINN	Huckleberry ___
ATARI	Big name in video arcades
YEATS	Literature Nobelist William Butler ___
AGENT	Representative
TORTS	Law school course
SOSO	Middling
ALAN	Chester Arthur's middle name
AJAR	Not quite shut
LOBE	Ear part
ANAT	Sci. course for a doctor-to-be
CNBC	"Mad Money" network
BWAY	Street through Times Sq.
CITE	Give as an example
GOO	Slime
JONATHANWINTERS	Comedic inspiration for Robin Williams
TDS	Six-point scores, for short
HOT	Just off the grill
NEA	Teachers' union, in brief
TIS	"___ the season to be jolly"
ABANDON	Leave high and dry
ATEINTO	Eroded
RETASTE	Take another sip of
YEASTS	Bread bakers' buys
