BUILDS	Crescendos
BEGFOR	Not just request
UNEATEN	Left on a plate
ITSDONE	"There!"
LET	It gets replayed
DRAW	Gunslinger's cry
SEPIA	Quaint photo
ALARMS	Eye-opening things
ALERT	Caffeinated?
LADS	Tom and Huck, e.g.
ART	"A lie that makes us realize truth," per Picasso
REACHIN	Try to steal a basketball from another player, e.g.
MAPPING	Cartography
STERNE	"Journal to Eliza" author, 1767
ENTERED	In the database, say
DONTTREADONME	Early flag warning
GLAREAT	Not look upon favorably
GREATSALTLAKE	West Jordan is near it
GESTAPO	Brutal force
REDTAPE	Nice thing to cut through
FAD	It's not hot for long
WINTERS	They're not hot
TEAMSTERS	Semi professionals?
CPR	Lifesaver, briefly
OTO	Plains folk
ATEAT	Rankled
SHIN	Goalkeeper's guarded area
SHORTA	Second of January
RENTS	People may be put out if they're not put up
TITANS	They were brought down by Olympians
SLINK	Move furtively
TAT	Part of an exchange
WHINE	Engine sound
WRENS	Members of the genus Troglodytes
NEILARMSTRONG	Figure seen on the lunar surface
AMS	Times for wake-up calls, briefly
TVA	Longtime power provider: Abbr.
TIMESAVER	Multitasking, e.g.
TRANSATLANTIC	Like some cruises
THEFIRM	Cruise vehicle
RUBADUB	Drumming sound
ISRAELI	Arab-___
CHARRED	Like some steaks
THUNK	Conceived in a nonstandard way
TRISTE	Sorrowful
DET	Badge holder: Abbr.
SASHA	White House girl
ADESTE	Carol's first word
REBS	Revolting bunch
WORLD	Setting for everything
WARES	Stock to hawk
DRIPS	Jobs for plumbers
RAD	X-ray spec?
IFA	"... ___ woodchuck could chuck wood?"
HANSARP	Worker in the medium of torn and pasted paper
HATS	Roles, figuratively
PSAT	It has two critical reading sects.
ARE	Will be present?
SIDEARM	Sword or dagger
ESO	That Mexican?
KISSERS	Yaps
SUR	Charge lead-in
TRUSTEE	Part of a board
EPAULET	Safari jacket feature
EMBOSS	Give some relief
STRIDE	Marathoner's concern
