HAIGHT	___-Ashbury (hippie district)
HIED	Made tracks
ANGE	Seraph of Sèvres
IDYL	Charming scene
GOP	Elephant group?
HOTWARS	Open military conflicts
TRIAGE	Battlefield sorting
SABRAS	Native Israelis
SSN	Application datum: Abbr.
ATWORST	If everything goes wrong
BEANERY	Hash house
RARE	Barely done
AMPS	Woodstock gear
SYST	Part of S.S.S.: Abbr.
QUESTED	Hunted
QUIPPER	One with a line
UNS	Little or young follower
EBAN	Israel's first U.N. delegate
SODA	Bar staple
TRAGIC	With 98-Down, Oedipus and Willy Loman
ENTER	Key word
DEALS	Has to do (with)
INDOOR	Like some sports
STEAMY	R-rated
UNBORNE	Not carried, as a burden
EGYPTIANWARPSVISADATA	Giza resident falsifies travel documents?
AYLA	Auel heroine
VELD	Kruger National Park terrain
DEL	Sci-fi author Lester ___ Rey
WAY	Fashion
ONESTEP	Ragtime dance
NAGEL	Garbo's "The Mysterious Lady" co-star
AGLARE	Blazing
ADELE	Designer Simpson
LPS	Some platters
STOATS	Summer ermines
IRS	Spring addressee, for short
MANDREADSRIGIDETHIC	Fellow fears following strict code of conduct?
MOC	Amerind shoe
ARAB	Bahraini, e.g.
NEAR	Imminent
DONITZ	German war admiral Karl
IMNOT	"___ impressed"
GOAT	It's half the faun
INSP	P.D. employee
HORA	Joyful dance
IFNI	Sidi ___, Morocco
OREOS	Sandwiches for dessert
ETYMON	Earlier form of a word
ROOF	Mouth part
CAAN	"Slither" star
PAL	Amigo
PFC	U.S.M.C. one-striper
ARTFUL	Clever
NASH	"Reflections on Ice-Breaking" poet
HALL	Campus building
ARNOLD	Composer Schoenberg
ORBS	Shelley's eyes
LEAS	Pastoral expanses
DDAY	"Saving Private Ryan" re-enactment
BRIEFREDHOTPASTAIRED	History of short-lived indiscretion made public?
EAT	Have a date
DON	Syndicate head
HUD	Cabinet part, briefly
SALAMI	Antipasto ingredient
TACT	Certain grace
OUT	Not 82-Down
LAS	___ Tunas, Cuba
BAA	Comment from the fold
LISZT	Wagner's father-in-law
LADE	Stevedore
IWIN	Cry after a coin flip
SEES	Witnesses
FIND	Discovery
IMPS	Sitters' headaches
CALL	Decision
CAM	Kind of wheel
AXE	Let go
HUSSY	Jezebel
HON	Toots
UNAGED	Newly made
AWE	Astonish
GUM	Wrigley field?
GELATI	Ristorante desserts
MAX	Fullest, slangily
MORES	Folkways
AVON	English Channel feeder
VAL	Montagne's opposite
DIETHELPSCOMERMANAGE	Rising star's insecurity eased by weight loss?
TOTO	The Wizard's unveiler
HUES	Emerald and ruby
SAFE	Not 62-Across
CARR	"The Alienist" author
ROALD	Explorer Amundsen
GURU	Timothy Leary, to some
EMIR	Desert dignitary
ENSOUL	Imbue with spiritual awareness
SAAR	German coal-producing region
OIL	Friction reducer
GUMP	Hanks role
PEE	Capital of Poland?
TEAS	Some are green
SECLUDE	Shut off
FRESCA	Coca-Cola brand
SHALALA	1964 Manfred Mann hit
CADAVER	Body
EERIE	Hitchcockian
ENDPLAY	Contract tactic
HOSTEVERSHALLENDURE	Emcee will never be forgotten?
HEROES	See 17-Down
VEAL	Medallion meat
LEAD	Best part
ENRAPT	Transported
OLE	"Hurrah!"
OBELI	Old manuscript marks
LOGIN	Prepare to check E-mail, perhaps
ICE	Composition of some sheets
ADDEND	Number next to a plus sign
BORER	Drill
ERAT	Was at the forum?
REBA	Faulkner's ___ Rivers
LASCALA	Where "Otello" premiered
SSSS	Radiator sound
CETA	Job legislation estab. in 1973
ASOF	From
ARP	Contemporary of Duchamp
RPI	First private engineering school in the U.S.
RITA	Poet Dove
PEON	Menial
ISNT	The Platters' "It ___ Right"
EGOREPULSESAVIDALLIES	Hubris alienates devoted comrades?
PET	Canoodle
INI	Kamoze of reggae
LTR	Missive: Abbr.
LIEABED	Late riser
STOLEN	Like some glances
PATTON	Old Blood and Guts
INSTATE	Make an officer
SAFARI	Overseas hunt
TYRANT	Simon Legree
