SMOG	Urban pollution
SLAG	Waste material
MAXI	Passé skirt style
OVEN	Breadmaking place
GARGOYLE	Quaint building decoration
STAGE	Booster, to a rocket
SHORTU	Vowel sound in "puzzle"
TORRES	Spanish constructions
AVION	Par ___ (how to send mail to France)
GEOG	Atlas maker's subj.
ERNE	White-tailed eagle
MESA	Winter home of the Chicago Cubs
MUESLI	Nutritious breakfast cereal
ESS	Double curve
SPA	Resort
ASU	Tempe sch.
LAVA	Volcanic flow
HOVER	Hang in the air
USPS	"We deliver for you" sloganeer: Abbr.
AXER	Ruthless personnel director
ORION	The Hunter
ESAU	Genesis twin
GINGERROGERS	Seasoned dancer?
EFREM	___ Zimbalist Jr.
RAL	"Too-ra-loo-ra-loo-___"
OFTEN	Frequently
ALPEN	Austrian peaks, locally
PLANAR	Two-dimensional
EELERS	Conger catchers
NOTYET	Possible answer to "Are we there now?"
PAPYRUS	Ancient writing material
PARROT	Polly, who wants a cracker
AMOEBA	Protozoan
PISCES	Sign after Aquarius
GALILEO	Spacecraft to Jupiter
GMC	Maker of Yukon SUV's: Abbr.
ASL	Communication for the deaf: Abbr.
AMILE	Missed by ___ (was way off)
OMS	Mantra sounds
OYL	Olive ___
ALT	Cockpit datum: Abbr.
ROSEMARYCLOONEY	Seasoned singer?
ANS	Opposite of a ques.
RFK	Washington's ___ Stadium
OSHEA	Milo of "Barbarella"
OPENROAD	Route that invites speeding
REC	Missing button on an iPod: Abbr.
NFL	Monday night game org.
SPARE	Extra, as a bedroom
OBELISK	The Washington Monument, e.g.
LEPERS	Pariahs
IRE	Rage
AMHERST	Emily Dickinson's home, in Massachusetts
AORTAS	Main arteries
MRMOTO	Peter Lorre role in eight movies
TASER	Police weapon
GOREN	Bridge authority Charles
GERRY	President Ford, informally
PEPPERMARTIN	Seasoned baseball player?
PASS	Free ticket
PITA	Round bread
TUTU	Ballet attire
IZOD	Popular shirt label
NOPE	"Uh-uh!"
BODE	Portend
BMW	Autobahn auto
OUI	Yes, in Québec
DIN	Clamor
AIRTO	___-ground missile
OUZO	Anise-flavored liqueur
MUIR	Sierra Club co-founder
STRAT	___-O-Matic (baseball game company)
ATOP	Sitting on
WINS	Victories
SAYSO	Approval power
DUDE	"Yo, ___!"
