ALGORE	"Junior" politician
AGAMAS	Tantric writings
LEGUMES	Clover and acacia
GRADUATESTUDENT	Future master, maybe
OBI	It may gird a geisha
RINSE	Last step in cleaning
ELSE	Besides that
ICECAP	Greenland sight
INEZ	Friend of Leonora in "Il Trovatore"
CARES	"Who ___?"
ECU	Coin portraying Louis XIV
COLORTELEVISION	Technological development of the 1950's
AMERIND	Delaware or Missouri
PASSOS	Steps, in São Paulo
GERBILS	Desert burrowers
STAGIER	More artificial
INACOMA	Far out
IHOPE	Wishful thinking?
AGAINSTTHERULES	Not allowed
TOOKTHELEAD	Pulled ahead
MUD	Base for some wrestlers
SEAOOZE	Slimy shore deposit
ORS	Places for cutting remarks?: Abbr.
AMUSE	What theme parks do
SMALLAD	Classified
GOP	It's on the right, for short
SERIO	Comical lead-in
ECHELON	Position
SEAM	Mining target
BIKED	Did part of a triathlon
BLEND	Purée, e.g.
DOSAY	"Let's hear it"
CTNS	Warehouse array: Abbr.
STARLET	One may play a big part in the future
RDA	Amount of iron, e.g.: Abbr.
OOHED	Was obviously impressed
OTB	Gambling inits.
ELDERHOSTEL	Its motto is "Adventures in lifelong learning"
ONECROP	Nondiverse kind of farming
ASLAN	Lion of "Narnia" tales
ARRIVES	Shows
ENABLER	User's helper
RETITLE	Handle differently?
SRTA	Miss abroad: Abbr.
STOOGE	Underling
DALEY	Commerce secretary before Mineta
ABCDE	Kindergarten song starter
OVEN	___-dried
NETHER	World leader?
TRUDY	Jerry Marcus comic strip
YEAST	Niacin source
BEC	"Je te plumerai le ___" ("Alouette" lyric)
UNITE	Demonstration exhortation
USETO	Of ___ (availing)
OID	Suffix with fact
ESCARPS	Cliffs
SNEE	Ko-Ko's weapon in "The Mikado"
PNOM	___-Penh
SIT	Be on the bottom
OVERANDDONEWITH	In the past
REA	"Bad Behavior" star, 1993
WHA	Houston Aeros' org.
GENESEE	River through Rochester, N.Y.
POTHOLE	Highway department concern
ESTATE	Subject of a tax
MOANER	One who's suffering
