MACAW	Noisy bird
MPH	Speedometer reading: Abbr.
ALA	___ carte
CUR	Dog prone to biting
ATO	From ___ Z
WOLFMAN	One who changes form during a full moon
TWAS	"___ the night before ..."
TYRO	Beginner
WOOZY	Mentally unclear
ARMEE	French military force
SEE	Go out with
GLEE	Exhilaration
GMAC	Auto financing inits.
LAMAZE	Childbirth training method
ERASES	Undoes pencil marks
EXTENT	Scope
PLUTO	Ninth planet no more
YORE	Days of King Arthur's Round Table, e.g.
MARX	Any brother in "Animal Crackers"
HAROLDROME	Broadway lyricist/composer who wrote "I Can Get It for You Wholesale"
DRANG	Sturm und ___
AMAT	Amo, amas, ___
FROZE	Opposite of melted
ACASE	Make ___ for (advocate)
ALTO	Kind of sax
SONOMA	California wine county
SPED	Hurried
ORLY	Paris suburb
NOLA	Theme song of bandleader Vincent Lopez
OPENIT	Gift-giver's urging
YELL	Whoop
LAG	Fall behind
ZEN	Buddhist sect
PROPANE	Gas log fuel
ELOI	"The Time Machine" people
ATTEST	Certify (to)
TWERPS	Dweebs
ELLENGLASGOW	Virginia-born Pulitzer Prize novelist of 1942
ANN	The Beach Boys' "Barbara ___"
SAGS	Is low around the waist, as pants
DYAN	Actress Cannon
ONA	Three ___ match
ECHO	"Anybody home? ... home? ... home? ..."
CLOT	Blood circulation problem
HIRE	Put on the payroll
ONOR	___ off (light switch options)
IRVINGBERLIN	"God Bless America" composer
REST	Remainder
VAT	Industrial container
BASIL	Pesto seasoning
EPILOGS	Ends of some novels
ICETEA	Drink that might come with a mint leaf
INAROW	Lined up
COLADA	Piña ___
ELICIT	Bring out
SAPPORO	Japanese site of the 1972 Winter Olympics
NOL	Lon ___ of Cambodia
STOA	Greek portico
OBAMA	First president born in Hawaii
ARCED	Followed a curved path
SISTER	"You said it, ___!"
ALIST	Elite roster
SENT	E-mail folder
BROIL	Cook, as steaks in an oven
OKRA	Gumbo pod
RACE	Indy 500, e.g.
JACKLONDON	"The Call of the Wild" author
JAN	First mo.
NUT	Hickory ___
DIE	What immortals never do
ODE	Shelley's "___ to the West Wind"
NED	___ Flanders of "The Simpsons"
ODIN	Chief Norse god
AMER	The "A" in U.S.A.: Abbr.
GUIDE	Seeing Eye dog, e.g.
WATT	Light bulb unit
NADA	Nothing, in Juárez
STEED	Pegasus, e.g.
