SHARP	Keen-edged
SEC	Trice, informally
HAL	"2001" computer
AGO	In the past
RES	Counterpart of bus.
PRENUPS	Engagement contracts, briefly
CAVED	Gave in
CARVE	Cut up
ALIE	"I cannot tell ___"
VEER	Zig or zag
ERN	Directional suffix
DODGERS	For whom Sandy Koufax pitched
PAT	___-a-cake
POPULARBREW	See blurb
ALAMO	Texas shrine
TEMPT	Tantalize
EAGER	Chomping at the bit
ALERO	Last Olds made
OLE	Corrida cheer
CLOSEFRIEND	See blurb
FESS	Come clean, with "up"
PAM	Cooking spray brand
NEVER	"When hell freezes over"
GRUMP	Grouch
RAM	Smash into
OBTUSE	Not exactly insightful
OUTIE	Belly button type
BLOSSOMTOBE	See blurb
TEES	Summer shirts
ZEALOT	Gung-ho sort
ZAPS	Nukes
JULEPS	Minty drinks
JOKY	Facetious
DHARMA	Greg's sitcom mate
DORIS	Day of "Pillow Talk"
HOBO	Boxcar rider
OTOES	Oklahoma Indians
HOOPS	Some earrings
HALE	In the pink
RBI	Slugger's stat
BALES	Farm bundles
IRAN	Neighbor of Turkey
KISS	Hershey confection
CARBS	Pasta is loaded with them
COVE	Place to moor
TBAR	Skier's transport
TATA	"Later"
YES	"I do"
FOLIO	Four-page sheet
FINICKY	Like a picky eater
MARLA	An ex of the Donald
MACABRE	Like much of Poe's work
OLIVES	Martini garnishes
LIZ	Designer Claiborne
SATEEN	Shiny fabric
SARA	___ Lee cakes
ERMINE	Regal fur
EMEND	Make corrections to
RILEY	Life of ___ (ease)
MACAWS	Brilliantly colored parrots
MACKS	Some big trucks
MITZI	Actress Gaynor
OHARA	Scarlett of Tara
OMAN	Mideast sultanate
HICK	Bumpkin
ELO	"Evil Woman" band, for short
COMICABBOTT	See blurb
ONA	___ lark
BEA	Arthur of "The Golden Girls"
OTT	Hall-of-Famer Mel
TRU	Play about Capote
TOP	Toy with a string
NEB	Cornhusker State: Abbr.
KNACK	Special talent
RETRO	Fashionably old-fashioned
DYE	Batiking need
YANKS	Doughboys
EATUP	Thoroughly enjoy
