THANKSTO	Through the efforts of
TSTORM	Brief weather phenomenon?
HOODIE	Hip-hop top
AVOIDS	Bypasses
NIKE	Brand that may be worn with a 2-Down
KEN	The New Yorker writer Auletta
STOLE	Pirated
TETON	County in Idaho, Montana or Wyoming
ORESTES	Matricidal figure of myth
SUGAR	Crystals used for dishes
SUMAC	Cause of a rash response?
USOC	Natl. athletics supporter
GAVEHOPE	Offered a way out
AGELEVEL	What pupils are separated by
REDALERT	Klaxon-sounding occasion
SOVIETERA	Sputnik launch time
ASTHOUGH	Like
USAGE	Meter reading
TOOKNOTES	Didn't rely just on memory
MOVED	Tearful
ODIE	Pooch in panels
LOST	Not comprehending at all
ACELA	Track speedster beginning in 2000
RID	Unburdened
BENTHIC	Of the seafloor
BYOB	Invitation notation
INPUT	Keypad's function
HEL	Underworld goddess
MESSY	Tough to resolve
SLANT	Editorial feature
EON	It's a real stretch
ROVE	Drift
RABBI	Literally, "my master"
LOADSUP	Gorges (on)
ALBEE	He said "If Attila the Hun were alive today, he'd be a drama critic"
DEARSIRS	Fusty greeting
APER	One making a good impression?
POTABLE	Unlike seawater
PINOCHLE	Double-decker?
OVERHAUL	Remake
TAXDODGE	Bit of trickery on the schedule
GUNBELT	Piece keeper?
NUBS	Lumps
IVAN	"Rocky IV" villain ___ Drago
BATHTUB	It may have clawed feet
TRIDENT	Fishing weapon
NEXT	Soon to be up
ERR	"Do they not ___ that devise evil?": Proverbs 14:22
BITSY	Minute
THRONE	It's definitely a reserved seat
SUNOCO	BP competitor
YEOMEN	Tower of London figures
ORD	Municipal reg.
RESIGNS	Bows out
RETRY	Second shot
GENOA	Piazza de Ferrari setting
NETWT	Wrapper stat.
HUE	Cast
CHOSE	Went with
SNAG	It might result in a run
IDEE	Bit of ingéniosité
BRNO	Moravian capital
BREL	Belgian balladeer
HADNT	Lacked
RENTAROOM	Get some quick lodging
AFT	Tailward
LUGAR	Sen. Bayh's senior counterpart
SNOWFENCE	Guard against drifting
ELEGY	Passing lines?
TATTLEON	Rat out
