HELD	Was of the opinion
HOED	Worked in rows
EBRO	Spain's second-longest river
LOISACLARK	1990's TV twosome
DECEIT	Iago's specialty
ALEG	"Shake ___!"
ACORN	Hard nut to crack?
LIRA	Money replaced by the euro
EEK	Rat alert?
GRAPAS	Dads of dads
FURS	Expensive wraps
FAIR	Evenhanded
UTNE	Magazine of reprints
RODE	Took a cab
SPYS	1974 Sutherland/Gould film
OBOE	Woodwind
ICIER	Less welcoming
IMSORRY	#1 hit for Brenda Lee
ATOP	Straddling
ERIC	Novelist Ambler
MORKAMINDY	1970's-80's TV twosome
MUSTS	Imperatives
DOSE	Recommended amount
SRA	Overseas Mrs.
PUREES	Gerber offerings
AIRON	Log holder
ROO	Outback hopper
LAS	Syllables sung in place of unknown words
LINER	___ notes
VICTOR	Winner
VALET	Jacket holder
ILONA	Massey of old movies
MISTAKEN	In the wrong
MOMUS	Personification of mockery
ALS	Oerter and Unser
KATEAALLIE	1980's TV twosome
EVOKE	Elicit
NEWER	Having a higher model number, say
ALL	Pledge of Allegiance ender
ORSON	Actor Bean
SERFS	Feudal laborers
SLAVE	Androcles, e.g.
LOAD	Fill the chambers, say
DOE	John ___
YEMEN	Arab League member
NAIADES	Water nymphs
STOW	Put in storage
ENRON	Company in 2002 headlines
NORMA	Silent film star Mabel
RURAL	Countrified
LSD	It was dropped in the 60's
EKE	Barely maintain, with "out"
TAKEOFFS	Mimics' work
FLAGON	Wine holder
ISLAER	Frequent ferry rider
LISPED	Didn't speak clearly
RLS	"Kidnapped" author's inits.
NADIA	Composer Boulanger
NICER	More polite
STIGMA	Black mark
SWAN	E. B. White's "The Trumpet of the ___"
TIRE	Goodyear product
ILIE	Tennis great Nastase
GLAD	Delighted
BID	Signal at Sotheby's
BAIO	Scott of "Happy Days"
SLAG	Steel mill by-product
AURA	A celebrity may have one
GMEN	Feds
WILLAGRACE	1990's-2000's TV twosome
RKO	"King Kong" studio
PLUM	Coveted prize
ARIA	Diva's delivery
OKIES	Dust Bowl drifters
EIRE	What Dubliners call home
NEED	Poverty
NOOR	Jordan's Queen ___
DEAN	Campus bigwig
