LOBSTER	Pot contents, perhaps
LAPTOPS	They're off during takeoff
OVERDUE	Accumulating fines
BONIEST	Superlatively spare
SCAT	"Aroint thee!," in modern language
TATE	Poet laureate of 1692
EDENS	Blissful states
ROSETTE	Leopard spot
FLACCID	Weak
FRESHET	Flash flood
LOS	West end of L.A.?
AUTO	___ parts
CLANK	Knight noise
CATTAIL	Elephant grass, e.g.
IDEALLY	For best results
DESPISE	Not fancy at all
AVOCADO	Light yellowish green
ROULADE	Musical embellishment
PENATES	Roman home protectors
ESTATES	They're left behind
TRITENESS	Property of a cliché
SAWN	Cut
ONTAP	Ready for drawing
ODE	Gray piece
STAHL	Safer associate
LARD	Enrich, in a way
KALI	Shiva's wife
PUSHY	Hardly retiring
HAW	Bit of hesitation
YERBA	___ Buena (island in San Francisco Bay)
TWEAK	Fine-tune
KEELS	Dirigible parts
ILS	Not nous
SETAE	Bristles
ENTRE	___ nous
LYE	Leaching product
WRY	Perverse
YAMS	Southern roots
DEL	Viña ___ Mar, Chile
LIU	"Turandot" slave girl
BAD	Defective
BEECHAM	Royal Philharmonic founder
AVERAGE	B+ or C-, e.g.
DERIVED	Reasoned out
BANES	Scourges
NAPTIME	When the kids are out
EZIO	Handel opera
SECTORS	They may be private
LIANA	Gorilla's swing
AMMONIA	Suffocating solution
NAILING	Carpentry chore
ACREAGE	Land
EVE	Gloaming
AMAZE	Floor
SUMAC	Tannin source
EERO	Finnish cross-country gold medalist Maentyranta
OMANI	Qabus bin Said, e.g.
SPICA	First-magnitude star in Virgo
AECIA	Fungal spore sacs
MIR	Launch of 2/20/86
CRIME	Error that leads to trial
ERDA	Mother of the Valkyries
TOTEMPOLE	Hierarchy
MENU	Dinner table?
PASS	It's often made freshly
HAVARTI	Danish cheese
TUT	Entombed king
OCEANIA	"1984" setting
AGENDUM	Program particular
RINSING	Salad preparation step
MEDIATE	Referee
SAUSAGE	Banger, in Britain
