EMAIL	Modern communication
ESSO	Exxon predecessor
MAPS	Guidebook features
AMIS	French friends
ION	It's charged in physics
LADDERS	Fire truck equipment
EDAM	Holland export
EMCEE	Host
DITS	Dah's counterparts
AMO	Latin 101 word
MIRACLES	Smokey Robinson's group, with "the"
STLO	1944 battle site
STRUTS	Swaggers
TWISTMYARM	"Make me do it"
LIFE	Time Inc. magazine
ONES	Wallet stuffers
SAMOA	Where Pago Pago is
MIMI	"La Bohème" heroine
TWIN	One with a look-alike
SPINDOCTOR	Interpreter of the news
OILS	Rembrandts, e.g.
RIFE	Epidemic
OSS	C.I.A. predecessor
DIES	"___ Irae" (Latin hymn)
ABUSES	Mishandles
BOIL	Seethe
PELE	Soccer great born Edson Arantes
PEEP	Chick's sound
SCOTT	"Rob Roy" author
SAXON	Anglo-___
POWERS	The ___ that be
PACES	Walks a hole in the carpet
OSHEA	Actor Milo or Michael
WHIRLPOOLS	Fancy bath features
TALISMAN	Magic charm
TIDES	Neap and ebb
AMUSE	Make smile
NADIR	Very depths
ASHES	They're worn on the day after Mardi Gras
PIXEL	Dot on a computer screen
PAYEE	Check casher
YMA	Sumac whose voice covered five octaves
CHIP	It's dipped in a dip
DADOS	Carpentry grooves
DONTSTOP	"Keep going!"
MAUD	Actress Adams of James Bond films
MALE	Stag attender
EER	Suffix with mountain
DOYEN	Respected man
DIAL	Clock face
FARSI	Iranian language
FAVORED	Having winning odds
SALTINES	Soup crackers
TRIPLE	Almost a homer
CALMER	More subdued
COMA	Knocked-out state
PRATE	Babble
DOVE	Peace symbol
DENSE	Impenetrable
SPOILS	Victors' reward
SPCA	Pet protector, for short
PREP	Kind of school
DEMO	Car at an auto dealership
DRUG	The "D" of D.E.A.
SAO	___ Paulo, Brazil
SUIT	Diamonds, e.g.
ANTE	Chip in
ODER	Frankfurt's river
PROP	Stage accessory
TURNAROUND	Recovery
UNA	Spanish article
OLE	Corrida cry
CELL	Prisoner's spot
ONUS	Burden
ELITE	Upper crust
APSE	Church recess
PAGE	Beep on a beeper
DETER	Frighten off
