CHESTER	City in England
CROUCH	What catchers do
HERNIA	Rupture
EDISON	Famous lab director
STOP	Pull over
TILE	Floor element
EDEN	Heaven
RESTS	Last word for the defense
JETSKIS	Motorized watercraft
JAMBOREES	Scouting blowouts
EDIE	One of the housewives on "Desperate Housewives"
TALLY	Add up
SMILES	Prepares to be shot, maybe
KATARINA	Women's tennis star Srebotnik
INI	Magician's name ending
STA	Place to buy tkts.
REDTIDE	Dangerous ocean phenomenon
ADAMANT	Inflexible
ORIOLES	Maryland team
MILITIA	Old musket carrier
UNSPENT	Like money in the bank
BELLA	Former Rep. Abzug
CIO	Union inits.
SHO	HBO rival
HOPTOAD	Critter with a sticky tongue
YERBA	___ Buena (island in San Francisco Bay)
BMOC	College V.I.P.
AIDE	Adjutant
HANDLE	Treat roughly
DLI	551, once
LINA	Filmmaker Wertmuller
EMORY	Georgia university
ORA	Anatomical mouths
ARRID	Ban alternative
SIMI	___ Valley, Calif.
LIMAPERU	Capital originally called the City of the Kings
AUGMENTED	Added value to
USER	Addict
NOD	Go-ahead
MANINOUTERSPACE	Project Mercury objective (and a hint to 1-, 18-, 27-, 47-, 62- and 68-Across)
MISS	Hit's alternative
ARLO	Name on "Alice's Restaurant"
NEARERTO	Closer by
PSA	Unpaid TV ad: Abbr.
IRE	High dudgeon
ARGOSIES	Richly laden ships
SLAV	Czech or Serb
VELVET	Antler covering
YMA	Singer Sumac
DRAFTS	Architect's aide
FIRING	Step in ceramic making
TRUDGE	Plod
SASSER	Smart one
SORER	Achier
RIANT	Laughing
EDE	Dutch city
EBERT	Roeper's TV partner
IRA	Tax-deferring instrument: Abbr.
ELIAN	___ González in 2000 news
ANTE	Help make a pot
BELARUS	Minsk's home
EYER	Ogler
LEVI	Strauss of jeans fame
ALEG	"Shake ___!"
SERVANT	Maid's counterpart
SDS	60's campus grp.
EEL	It was "boil'd in broo'," in the ballad "Lord Randal"
EYELIDS	They may get heavy at night
DETENTE	Warming
REVENGE	Wronged person's cry
SLOTTED	On the schedule
TRIGGER	Armed gang member
