SPACE	Elbowroom
SPARTA	Side in the Peloponnesian War
POPTOP	Beer opener
APPEAL	Telethon, e.g.
CPL	Pfc.'s boss
EYEWASH	Baloney
BACH	One of the 3 B's
BONSAI	Potted tree
ABET	Help with the heist
COVERSUP	Whitewashes
HEE	Giggling sound
EGGO	Kellogg Foods brand
EGGING	Prodding
GOODSEAT	Spot overlooking center court, say
GATE	Way in
ODOR	Fungus byproduct
POPPY	Plant in Flanders fields
OBOE	Double-reed woodwind
GOAD	Prod
APPLE	Mac maker
NEVERGOTO	Start of a quip
REARS	Brings up
RTE	I-95, e.g.: Abbr.
WASTE	Fritter away
ANTS	Aardvark fare
EIDER	Kind of down
TOA	"One ___ customer"
ANA	Actress Alicia
ROANS	Two-toned horses
OUT	Passé
APLASTICSURGEON	Quip, part 2
AOK	"All systems go"
CHAPS	Guys
ODE	Wordsworth work
NOW	"Get going!"
OHS	Sighs of distress
HUTS	A lot of a drill sergeant's drill
ADO	Hoo-ha
RISK	Take a chance on
RAW	Wet behind the ears
ISH	___ Kabibble
SHOOTPAR	Have a good day on the links
NAP	It may help you "catch up"
NEEDASAP	Can't wait to have
STEW	Fret
SAW	Word with whip or rip
ASH	Shade of blond
BEEP	Modern summons
BORIC	Kind of acid
EVE	Snake charmee
RNA	Genetic letters
RHEA	Mother of Hera
NEWYORK	The Big Apple
WHOLOVESTHEWORK	Quip, part 3
LAZING	Lounging around
THROAT	There may be a catch in it
ONETWO	Powerful combination
RESEEK	Look for again
KEENLY	With vigor
OARED	Boated, maybe
HEW	Chop down
NEE	Maiden name preceder
MITZI	Actress Gaynor
MOAB	Ancient kingdom east of the Dead Sea
IFSO	In that case
ARRAY	Matrix
RSVP	Invitation letters
ESE	How the Des Moines R. flows
OFPICASSO	End of the quip
ALA	Chicken ___ king
OFTEN	A lot
FOO	Rock's ___ Fighters
ASAN	Big ___ elephant
LAVA	Result of venting?
ROWEL	Part of a spur
BORG	Five-time Wimbledon champ
APPT	Session with an M.D.
KOOKY	Nuts
