FATSO	Dom DeLuise comedy
FAD	It's temporarily in
AMIE	Valentine for Valéry
TOLL	Extent of damage
SOLITARY	Prison punishment
ONYXES	Features of some cameos
TARP	Field protector
TAC	XXX part
ARKS	Symbols of safe passage
RELACED	Tightened, in a way
PLENARY	Complete in every respect
SEAL	Performer with a balancing act
SEWON	Attach, as a patch
ELIS	Ivy League team
ABNEGATE	Deny oneself
LAD	Bucko
SERF	Lord's worker
SOFTEN	Tone down
ETAIL	Sell online
ROLLE	"Good Times" matron portrayer
FELT	With 54-Down, a derby, e.g.
AMOON	The Capris' "There's ___ Out Tonight"
KAREL	Playwright Capek
KIRI	Diva ___ Te Kanawa
ELBA	Exile isle
OTOE	Ally of the Missouri, once
DILLYPICKLE	Lulu of a predicament?
PIPET	Lab tube
WINDYFALL	Good season for kite-flying?
YASIR	Late name in Mideast politics
ELIXIR	Alchemist's life prolonger
SANJOSE	Shark's place
JESS	1910's heavyweight champ Willard
ATILT	Listing
TEPID	Halfhearted
DREARY	Not bright
CAEN	City near Le Havre
GISELE	Supermodel Bündchen
ITEMS	Gossipy squibs
ABASE	Treat like dirt
AILS	Is laid up
BRANDYNAME	Slivovitz or kirsch?
RUERS	Sorry souls
UNIT	Pascal or newton
EATIN	Have something at home
ETHER	It can knock people out
LIRR	Penn Station inits.
LPS	45 alternatives
TRENDYSETTER	Dog that's up on the latest fashions?
RHONES	French wines
EAVE	Trough site
DER	___ Spiegel (German magazine)
DOWNYLOADS	Wagonfuls of feathers?
ELLIE	Mrs. Jock Ewing
RESOD	Cover anew, as a plot
PLAYA	Beach on the Costa del Sol
ASLANT	Oblique
HAI	Yes, in Yokohama
AHEM	Meaningful little cough
DOLE	Welfare payments, e.g.
DONEE	Beneficiary
SSN	W-2 ID
SHORTYWAVE	Greeting from a dwarf?
HAT	See 17-Down
YENTL	Movie with the Oscar-nominated song "Papa, Can You Hear Me?"
WEILL	Brecht's sometime collaborator
ALLEY	It may be blind
SCOWLS	Meanies' miens
CENTRO	El ___, Calif.
DELANY	"China Beach" star Dana
ERASE	Totally eliminate
EELERS	Kingklip catchers
SHAZAM	Superhero's transformation word
ENNIO	Film score composer Morricone
PAYRATE	It rises when you get a raise
PACES	Duel units
ANOSE	Just barely, after "by"
NIL	Nada
HONEYED	Pleasantly sweet
ORE	Rush attraction
ANNAN	Boutros-Ghali's successor
SUBTLE	Nuanced
UBOLT	Bar with two screw threads
BURY	Completely repress
CARTEL	Price fixer
COLONS	Two-pointers?
COASTS	Ocean liners?
SIEGE	Preattack tactic
BULLYDOZER	Browbeating sleepyhead?
DATE	Play the field, so to speak
OFF	Not working
FLEE	Run
FAN	Air mover
ESME	Celebrity biographer Hawes
IGOR	Stereotypical lab assistant
GLADDENS	Gratifies
ALA	In the manner of
OCALA	Florida's ___ National Forest
CAPSTONE	Crowning achievement
SEE	Cross-referencing word
BELLYBOTTOMS	Lower abdomens?
BELAY	Cease, imperatively
BALD	Dis-tressed
OLESTRA	Big name in fake fat
TIMEOUT	Play interrupter
SCABS	Picket provokers
ADEN	Near Eastern port
BEGAT	Brought forth
BANKER	E. F. Hutton, e.g.
ALIEN	Unfamiliar
COPSE	Small wood
ORATED	Tub-thumped
SCALED	Went up
SLURP	Noise that Emily Post wouldn't approve of
CELIA	"As You Like It" lass
CLEM	Mr. Miniver, in "Mrs. Miniver"
CADET	Midshipman's counterpart
SCARS	Lasting aftereffects
CAYS	Low islands
ELENA	Makarova of tennis
EBBS	Goes down
DEADSET	Resolved
EARS	All ___
TAFT	Sherman served with him
ABATES	Goes down
EONS	Time on end
SLUE	Pivot
BULKYHEAD	Thick foam on beer?
HIP	Oft-replaced part
TOADYSTOOLS	Apple-polishers' perches?
DUN	Dull-colored
SIX	More than a handful
BRIE	Camembert alternative
INRE	About
RUFUS	Revolutionary War patriot Putnam
ENNUI	The blahs
SPAR	Practice, pugilistically
PSST	Alternative to 50-Across
ATTN	Memo abbr.
DESEX	Make gender-neutral
