ACES	Breezes through
ADHOC	Like some committees
COACH	Alternative to first-class
ELITE	Cream of the crop
STRAWPOLL	*Nonbinding vote
AFBS	Andrews and Edwards, for two: Abbr.
AMP	Sound booster at a concert
FORT	Siege site
BAAED	Called to a lamb, say
STYRON	"Sophie's Choice" author
STUDS	Wall supports
STOPGAP	*Like a band-aid solution
TUBAS	Instruments in military bands
UTEP	Lone Star State sch.
DESE	Dis and dis
SEER	Palm reader, e.g.
DOLT	Blockhead
MOAT	Zoo barrier
TUTEE	One getting one-on-one help
HAIRSPRAY	*Movie starring a cross-dressing John Travolta
SLEET	Winter driving hazard
OBESE	Having a lot to lose?
OCTAL	In base 8
TERMPAPER	*Big writing assignment
MNO	6 on a telephone
CHEWED	Enjoyed Bazooka, e.g.
DOIS	The Everly Brothers' "All I Have to ___ Dream"
DONGS	Carillon sounds
PEON	Lowly worker
NOH	Japanese drama
NOA	"... ___ thousand times ..."
DSL	Step up from dial-up
DOME	Capitol feature
STYX	River of Hades
LOST	Not grasping the material, say
INMOTION	Not at rest
IVAN	Lendl of tennis
NINO	Padre's boy
MAGS	Rack purchases, briefly
NOG	Yuletide quaff
PHOTO	Driver's license feature
HANDSTAND	*Heels-over-head feat
VIAL	Lab container
SHORT	Word that can precede the starts of the answers to the eight starred clues
ROW	Column crosser
TEAR	Sign of sorrow
AMYS	Lowell and Tan
ANGLO	The "A" in WASP
OUTWITS	*Defeats mentally
GOESNEXT	Is on deck
SNEAD	Golf's Slammin' Sammy
NOS	Most apts. have them
UMP	Strike caller
MIA	Actress Farrow
PELLET	Bit of shotgun shot
WAND	Wizard's stick
STIES	Places to serve slop
SETON	Determined to achieve
SKINK	Long-bodied lizard
RESALE	Flea market deal, perhaps
ABNER	One of the Yokums
LACEY	Cagney's TV partner
EYERS	Close watchers
CAKEWALKS	*Very easy tasks
CAPE	New Jersey's ___ May
AMID	In the thick of
KALE	Curly cabbage
SNIT	Fit of pique
ATBAY	Unable to retreat, as an animal
AMATI	Fine fiddle
LINEDANCE	*Electric Slide, for one
EDS	Publishers' hirees: Abbr.
PILOT	Introductory TV episode
ENID	Author Bagnold
NEER	Not e'en once
EDENS	Idyllic places
TKTS	B'way booth in Times Square
DRYS	Temperance supporters
