CUSHYJOB	No backbreaker
CAME	Amounted
UNAS	Last pharaoh of Egypt's Fifth Dynasty
SNIT	Ruffled state
HONE	It'll give you an edge
YTD	Financial report abbr.
JARGON	It's hard for laymen to understand
OTARU	Port on the Sea of Japan
BEGINTHEBEGUINE	Song standard from Broadway's "Jubilee," 1935
SPEDUP	Was a catalyst for
SFO	Hub northwest of LAX
PEOPLE	Nation
ELLIE	"Show Boat" girl who sings "Life Upon the Wicked Stage"
DIAPERCLAD	Like tiny tots
UNLITERARY	Like much pulp
PEAT	Everglades deposit
ANNOTATE	Add to marginally?
FELINE	Stealthy sort
MAINDRAG	One running through town
OOLALA	Exclamation near a runway
ESTE	City in Veneto
GRIS	Cubist who painted "Violin and Glass"
STRIAE	Stretch marks, e.g.
PIPIT	Bird notable for walking rather than hopping
COUNTFLEET	Triple Crown winner between Whirlaway and Assault
CRAG	Peak projection
FUND	Financial adviser's suggestion
LEARN	Master
LIARSPOKER	Bluffing bar game
ESCAPEROAD	Emergency racetrack turnoff
AHAB	Wicked king of Israel
TRUE	Not tall
REV	Preach
VERA	Tennis star Zvonareva
MISHA	Perfume named for Baryshnikov
MSGT	U.S.M.C. E-8
SHIN	It's just over a foot
SWOUND	Faint, to Shakespeare
ACRE	Plot segment
ALER	Jay or Ray
SACAGAWEADOLLAR	Indian currency
ALLI	"___ Have" (Jennifer Lopez #1 hit)
OMOO	Classic novel whose title means "rover"
GRAB	Take the wrong way?
LOBE	Ring site
MEARA	Tony award nominee for "Anna Christie," 1993
TSP	It's sometimes heaping: Abbr.
SLUE	Fishtail, e.g.
STOKER	Steamship employee
GORDY	"The Mary Tyler Moore Show" weatherman
GOLONG	Get ready for a bomb
PETTINGZOO	Place where kids may feed kids
TRIBE	Reservation holder
ZEROG	Free-falling phenomenon
MORRO	New Mexico's El ___ National Monument
MISO	Paste in Asian cookery
DUEL	Emulate Cyrano
EXGI	Nov. 11 honoree
EWER	One whose mouth and lip may be painted
XENA	TV opponent of Ares
GEST	Exploit
IDEE	Starting point for un inventeur
IKOIKO	Mardi Gras song that was a 1965 hit for the Dixie Cups
ODS	Has one's fill and more, briefly
IRONWEED	Pulitzer-winning William Kennedy novel
NSC	Foreign policy grp.
SEABED	Good place to look when you're sole-searching?
NONSENSE	It doesn't add up
ORDERS	Waiting list?
EGGCRATE	Kind of mattress pad
