GOULD	Dick Tracy creator Chester
GAS	Krypton or radon
OFT	Repeatedly, in rhyme
UTA	Hagen of stage fame
LENTO	Slowly, on a score
DRKOOP	Surgeon General under Reagan
SHALT	Ten Commandments word
SOSO	No great shakes
HALF	Kennedy coin
ATIT	Working tirelessly
LECH	Poland's Walesa
TREE	Alder or elder
MER	Debussy's "La __"
MARINO	San __ (tiny republic)
ELINOR	Donahue of "Father Knows Best"
REPENT	Feel contrite
AFTER	In pursuit of
OATER	Many a John Wayne flick
ALE	Draft choice
STANK	Smelled something fierce
SLICE	Duffer's problem
RIP	"Let 'er __!"
TOPOFTHELINE	Most expensive, usually
PLACED	Came in second
LANDHO	Crow's-nest cry
SCHOOL	Word after prep or reform
SHAM	Pillow covering
CANI	"Who __ Turn To?"
HIND	Posterior
ANON	Author unknown: Abbr.
HAI	"Bali __"
PASSE	Out of vogue
SHOOT	"Go ahead, ask!"
SOFIA	Bulgaria's capital
ERNST	Dadaist Max
SNORT	Sound from the bull pen
SEW	Patch up
ANNA	The "I" in "The King and I"
ADJUST	Fine-tune
CHORDED	Strummed on a guitar
DOTTED	Like a signature line, perhaps
MIDDLEOFNOWHERE	Where you might be if you're lost
LUM	Abner's radio partner
EBAN	Israel's Abba
RILL	Small stream
EELY	Hard to hold on to
JUDOIST	Black-belt wearer, perhaps
OBIE	Village Voice award
HOKUM	Balderdash
HUBRIS	Haughtiness
OTOOLE	"Becket" actor Peter
KETTLE	Stovetop whistler
TATTY	Moth-eaten
YVETTE	Actress Mimieux
ALL	100%
UTES	Sporty trucks, for short
EVENLY	Leaving no remainder, in an arithmetic problem
ERROR	Fielding average lowerer
BOTTOMFEEDER	Catfish, e.g.
OSSO	__ buco
MAIL	Pony Express load
FLED	Hightailed it
EAVE	Icicle locale
EDEN	Blissful place
ROT	Balderdash
SALAD	Rabbit food, so to speak
TRIPE	Balderdash
IPO	Wall St. intro
PED	__ XING
ERE	Bard's before
ILL	Out of sorts
SIEVE	Holey utensil
TOPER	W.C. Fields persona
SEE	"Get it?"
OLDEN	Of time past
ERODE	Chip away at
