HAILE	Ethiopia's __ Selassie
HISS	Snake sound
ANTE	Start the pot
IDEM	The same, in a bibliography
LEVI	Jeans maker Strauss
EXETER	Phillips __ Academy
INDIC	Hindi's language group
IPANA	Classic toothpaste
NONE	Poor dog's portion
DRYS	Prohibitionists
ITO	"Who am __ say?"
CONSTANT	Having a fixed value
ACT	Play part
AARON	Record holder before Bonds
CLINK	Sound of toasters' glasses
TANEY	Chief Justice, 1836-64
INDEX	__ finger (pointer)
PORTO	__ Alegre, Brazil
ALA	In the style of
STEVECANYON	Comics hero who debuted in 1947
COVE	Shoreline recess
RIN	__ Tin Tin
SEMITONES	Half steps, in music
STONE	Slingshot missile
TIN	Solder material
EVA	Braun or Gabor
STINKY	Foul-smelling
SERF	Feudal drudge
DEMURE	Shy and modest
DITS	Dahs' partners
ECHO	Repeat verbatim
MEIN	Chicken chow __
USS	Destroyer letters
OCEAN	Arctic or Indian
ODEON	"__ a Grecian Urn"
COOP	Condo alternative
ICES	Cold desserts
ADORN	Deck out
ALTA	Utah ski spot
PEA	Potpie spheroid
PALE	Hardly tanned
ERIC	Bana of "Munich"
ASPS	Nile snakes
THISVALEOFTEARS	Life on earth, poetically
VONSYDOW	Max of "The Exorcist"
ANNE	Comic Meara
EST	Attendance fig., often
SON	Hoss, to Ben
ONTOP	In first place
SLIP	Lose traction
ANNAN	Former UN honcho Kofi __
ART	Garfunkel or Carney
AZTECS	Montezuma's people
APER	Copycat
ZADORA	Singer/actress Pia
SPARSE	Thinly spread
SPEAR	Bit of asparagus
PANDA	Bamboo-munching "bear"
ARGON	An inert gas
WPA	New Deal org.
WRENS	Small songbirds
PARTY	It may be crashed
AIREDALES	Wiry-coated terriers
AGER	Maturing agent
IGOT	"__ Plenty o' Nuttin'"
ADES	Fruity drinks
LEEK	Shallot's cousin
ELSE	Ultimatum ender
SLED	Iditarod vehicle
ENG	Chang's twin
DIGGERODELL	"The Life of Riley" character
INA	Croce's "Time __ Bottle"
ADO	Commotion
ONEON	Tie __ (get soused)
REESE	Della or Pee Wee
RAN	Was on the slate
WARTS	Consequences of toad-handling, in folklore
ASKED	Sought answers
