CRAM	Pull an all-nighter
CDS	DJ's stack
REAP	Gather up
ANNO	__ Domini
MYDEAR	"Frankly, __ ..."
MENS	Department store department
MAHIMAHI	Hawaiian food fish
ERIC	Grid great Dickerson
NINJA	Japanese assassin
SATUP	Woke with a start
TROVE	Treasure find
TSETSE	Feared fly
RAVI	Sitarist Shankar
ODIC	Like Pindar's works
VALE	Low-lying area
ETS	Sci-fi figures
DENY	Plead innocent to
ARIA	Diva's delivery
SADAT	1978 Peace co-Nobelist Anwar
SAND	Egg timer innards
HINT	Helpful tip
EVILS	Lesser of two __
POETICJUSTICE	Fitting finish
TINCT	Touch of color
SOB	Cry out loud
AIM	Rifle range command
APOS	Mil. addresses
STERNAL	Breastbone-related
SOCKS	Argyles, e.g.
THREE	Ruth's uniform number
EMEND	Make improvements to
LEVI	Strauss of blue jeans
BEFORE	Diet-ad photo caption
FAT	Love handles, essentially
OXIDE	Rust, e.g.
RENEE	Oscar winner Zellweger
EDGED	Barely beat
OHM	Resistance unit
CHEWS	Munches on
WED	Tie the knot
SWIT	Loretta of "M*A*S*H"
AXED	Pink-slipped
CREATIVEWRITING	High school English course
ATA	__ snail's pace
ROOTBEER	Float need
IMPEI	JFK Library architect
KENT	Superman, while in civvies
IDIOM	"Eat crow" or "talk turkey"
DEE	Poor grade
SEDATE	Give a Valium to
TOUSLE	Muss up
ELO	"Evil Woman" band
TOPSEED	#1 player, in a tennis tourney
SENSED	Had a hunch
OLDS	Auto pioneer Ransom Eli __
DRAMS	Apothecaries' measures
SCOUT	Seeker of new talent
TEE	Souvenir shirt
LIQUORCABINET	Place for spirits
LONI	Anderson of "WKRP"
INTO	Division word
QUID	Pound sterling, slangily
ANTI	Nay sayer
ETNA	Sicilian spewer
TOYS	Santa's sackful
BONUS	Pay-envelope extra
BUD	Popular beer, for short
AONE	Top-of-the-line
STOW	Load on board
WAH	Guitar effect, when doubled
UNTIL	Up to
MUTE	Trumpet accessory
ENYA	Irish New Ager
DIODE	LED part
STIR	Use a swizzle stick
DASH	Salt amount
